taxon_phylum,taxon_class,taxon_order,taxon_family,taxon_genus,scientific_name,sp_code,growth_form,gf_code,pigment_type,height_class
Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Amphiroa,Amphiroa_beauvoisii,UEC,articulated_calcareous,AC,red,turf
Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Acrosorium,Acrosorium_ciliolatum,AU,corticated_foliose,CF,red,
Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Cryptopleura,Cryptopleura_ruprechtiana,BF,corticated_macrophytes,CM,red,
Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,-99999,Lessoniaceae,,leathery_macrophyte,LM,brown,
Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Bossiella,Bossiella_orbigniana,BO,articulated_calcareous,AC,red,
Rhodophyta,Rhodophyceae,-99999,-99999,-99999,Rhodophyceae,,unc_red,,red,
Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Calliarthron,Calliarthron_cheilosporioid,CAL,articulated_calcareous,AC,red,
Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Chondracanthus,Chondracanthus,CC,leathery_macrophyte,LM,red,
Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Callophyllis,Callophyllis_flabellulata,CF,corticated_macrophytes,CM,red,
Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora,Cladophora_graminea,CG,filamentous_algae,FA,green,
Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Stephanocystis,Stephanocystis_osmundacea,CYOS,leathery_macrophyte,LM,brown,
Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Corallina,Corallina_officinalis,CO,articulated_calcareous,AC,red,
Chlorophyta,Ulvophyceae,Bryopsidales,Codiaceae,Codium,Codium_fragile,COF,corticated_foliose,CF,green,
Ochrophyta,Phaeophyceae,Scytosiphonales,Scytosiphonaceae,Colpomenia,Colpomenia,CP,cushion,C,brown,
Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Cryptopleura,Cryptopleura,CRYP,corticated_foliose,CF,red,
Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Chondracanthus,Chondracanthus_spinosus,CZ,corticated_macrophytes,CM,red,
Ochrophyta,Phaeophyceae,Desmarestiales,Desmarestiaceae,Desmarestia,Desmarestia_ligulata,DL,corticated_macrophytes,CM,brown,
Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,Macrocystis_pyrifera,MAPY,leathery_macrophyte,LM,brown,
Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Dictyota,Dictyota,DP,corticated_foliose,CF,brown,
Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Dictyopteris,Dictyopteris_undulata,DU,corticated_foliose,CF,brown,
Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Eisenia,Eisenia_arborea,EA,leathery_macrophyte,LM,brown,
Rhodophyta,Florideophyceae,Corallinales,-99999,-99999,Corallinales,,unc_calcareous,NA,red,
Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Egregia,Egregia_menziesii,EGME,leathery_macrophyte,LM,brown,
Rhodophyta,-99999,-99999,-99999,-99999,Rhodophyta,,unc_red,NA,red,
Rhodophyta,Florideophyceae,Rhodymeniales,Faucheaceae,Gloiocladia,Gloiocladia,FASP,corticated_foliose,CF,red,
Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpaceae,-99999,Ectocarpaceae,FB,filamentous_algae,FA,brown,
Chlorophyta,-99999,-99999,-99999,-99999,Chlorophyta,,unc_green,NA,green,
Rhodophyta,Florideophyceae,Ceramiales,-99999,-99999,Ceramiales,,unc_red,NA,red,
Rhodophyta,Florideophyceae,Gelidiales,Gelidiaceae,Gelidium,Gelidium_robustum,GR,corticated_macrophytes,CM,red,
Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,Gracilaria,Gracilaria,GS,corticated_macrophytes,CM,red,
Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Gymnogongrus,Gymnogongrus,GYSP,corticated_macrophytes,CM,red,
Rhodophyta,Florideophyceae,Palmariales,Palmariaceae,Halosaccion,Halosaccion_glandiforme,HAGL,cushion,C,red,
Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Iridaea,Iridaea,,corticated_macrophytes,CM,red,
Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,Laminaria_farlowii,LAFA,leathery_macrophyte,LM,brown,
Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Lithothrix,Lithothrix,LI,articulated_calcareous,AC,red,
Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Laurencia,Laurencia,LS,corticated_macrophytes,CM,red,
Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Osmundea,Osmundea_spectabilis,LX,corticated_foliose,CF,red,
