Datetime,Time (abs/ms),Time (rel/ms),Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Temp,1:Y (II),1:ETR,1:Fo,1:Fm,1:Fv/Fm,specimen_ID
7/19/21 16:22,1.63E+12,116069,7/19/21,16:22:23,FO,1,1,2,0,-,-,-,1,2,-,NA
7/19/21 16:22,1.63E+12,120854,7/19/21,16:22:28,FO,2,0,2,0,-,-,-,0,2,-,NA
7/19/21 16:22,1.63E+12,124887,7/19/21,16:22:32,FO,3,0,4,0,-,-,-,0,4,-,NA
7/19/21 16:40,1.63E+12,1173789,7/19/21,16:40:01,FO,4,123,201,0,-,0.388,0,123,201,0.388,20210719-IVEE-001
7/19/21 16:40,1.63E+12,1181239,7/19/21,16:40:08,FO,5,130,259,0,-,0.498,0,130,259,0.498,20210719-IVEE-001
7/19/21 16:40,1.63E+12,1189548,7/19/21,16:40:17,FO,6,150,245,0,-,0.388,0,150,245,0.388,20210719-IVEE-001
7/19/21 16:40,1.63E+12,1199211,7/19/21,16:40:26,FO,7,194,306,0,-,0.366,0,194,306,0.366,20210719-IVEE-001
7/19/21 16:40,1.63E+12,1209458,7/19/21,16:40:36,FO,8,156,285,0,-,0.453,0,156,285,0.453,20210719-IVEE-001
7/19/21 16:40,1.63E+12,1217046,7/19/21,16:40:44,FO,9,150,246,0,-,0.39,0,150,246,0.39,20210719-IVEE-001
7/19/21 16:40,1.63E+12,1228110,7/19/21,16:40:55,FO,10,140,256,0,-,0.453,0,140,256,0.453,20210719-IVEE-001
7/19/21 16:41,1.63E+12,1241294,7/19/21,16:41:08,FO,11,85,158,0,-,0.462,0,85,158,0.462,20210719-IVEE-001
7/19/21 16:41,1.63E+12,1254653,7/19/21,16:41:22,FO,12,201,318,0,-,0.368,0,201,318,0.368,20210719-IVEE-001
7/19/21 16:41,1.63E+12,1267729,7/19/21,16:41:35,FO,13,229,441,0,-,0.481,0,229,441,0.481,20210719-IVEE-001
7/19/21 16:42,1.63E+12,1296734,7/19/21,16:42:04,FO,14,1,3,0,-,-,-,1,3,-,NA
7/19/21 16:42,1.63E+12,1300678,7/19/21,16:42:08,FO,15,1,3,0,-,-,-,1,3,-,NA
7/19/21 16:42,1.63E+12,1344828,7/19/21,16:42:52,FO,16,163,283,0,-,0.424,0,163,283,0.424,20210719-IVEE-002
7/19/21 16:43,1.63E+12,1354006,7/19/21,16:43:01,FO,17,114,220,0,-,0.482,0,114,220,0.482,20210719-IVEE-002
7/19/21 16:43,1.63E+12,1364483,7/19/21,16:43:11,FO,18,131,262,0,-,0.5,0,131,262,0.5,20210719-IVEE-002
7/19/21 16:43,1.63E+12,1373764,7/19/21,16:43:21,FO,19,122,241,0,-,0.494,0,122,241,0.494,20210719-IVEE-002
7/19/21 16:43,1.63E+12,1380833,7/19/21,16:43:28,FO,20,159,277,0,-,0.426,0,159,277,0.426,20210719-IVEE-002
7/19/21 16:43,1.63E+12,1389341,7/19/21,16:43:36,FO,21,116,200,0,-,0.42,0,116,200,0.42,20210719-IVEE-002
7/19/21 16:43,1.63E+12,1397250,7/19/21,16:43:44,FO,22,160,296,0,-,0.459,0,160,296,0.459,20210719-IVEE-002
7/19/21 16:43,1.63E+12,1405119,7/19/21,16:43:52,FO,23,195,333,0,-,0.414,0,195,333,0.414,20210719-IVEE-002
7/19/21 16:44,1.63E+12,1415598,7/19/21,16:44:03,FO,24,116,236,0,-,0.508,0,116,236,0.508,20210719-IVEE-002
7/19/21 16:44,1.63E+12,1426793,7/19/21,16:44:14,FO,25,121,223,0,-,0.457,0,121,223,0.457,20210719-IVEE-002
7/19/21 16:44,1.63E+12,1435866,7/19/21,16:44:23,FO,26,2,2,0,-,-,-,2,2,-,NA
