Datetime,Time (abs/ms),Time (rel/ms),Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Temp,1:Y (II),1:ETR,1:Fo,1:Fm,1:Fv/Fm,specimen_ID
7/20/21 17:44,1.63E+12,1174452,7/20/21,17:44:30,FO,1,256,815,0,-,0.686,0,256,815,0.686,20210720-CARP-001
7/20/21 17:44,1.63E+12,1189014,7/20/21,17:44:45,FO,2,198,696,0,-,0.716,0,198,696,0.716,20210720-CARP-001
7/20/21 17:44,1.63E+12,1196247,7/20/21,17:44:52,FO,3,196,683,0,-,0.713,0,196,683,0.713,20210720-CARP-001
7/20/21 17:44,1.63E+12,1203136,7/20/21,17:44:59,FO,4,216,757,0,-,0.715,0,216,757,0.715,20210720-CARP-001
7/20/21 17:45,1.63E+12,1212749,7/20/21,17:45:08,FO,5,205,649,0,-,0.684,0,205,649,0.684,20210720-CARP-001
7/20/21 17:45,1.63E+12,1220405,7/20/21,17:45:16,FO,6,201,640,0,-,0.686,0,201,640,0.686,20210720-CARP-001
7/20/21 17:45,1.63E+12,1230089,7/20/21,17:45:26,FO,7,185,568,0,-,0.674,0,185,568,0.674,20210720-CARP-001
7/20/21 17:45,1.63E+12,1242737,7/20/21,17:45:38,FO,8,194,637,0,-,0.695,0,194,637,0.695,20210720-CARP-001
7/20/21 17:45,1.63E+12,1253863,7/20/21,17:45:50,FO,9,175,612,0,-,0.714,0,175,612,0.714,20210720-CARP-001
7/20/21 17:46,1.63E+12,1267246,7/20/21,17:46:03,FO,10,210,720,0,-,0.708,0,210,720,0.708,20210720-CARP-001
7/20/21 17:46,1.63E+12,1276964,7/20/21,17:46:13,FO,11,0,6,0,-,-,-,0,6,-,NA
7/20/21 17:46,1.63E+12,1280637,7/20/21,17:46:16,FO,12,0,4,0,-,-,-,0,4,-,NA
7/20/21 17:50,1.63E+12,1560742,7/20/21,17:50:56,FO,13,226,753,0,-,0.7,0,226,753,0.7,20210720-CARP-002-A
7/20/21 17:51,1.63E+12,1568370,7/20/21,17:51:04,FO,14,203,680,0,-,0.701,0,203,680,0.701,20210720-CARP-002-A
7/20/21 17:51,1.63E+12,1575722,7/20/21,17:51:11,FO,15,186,645,0,-,0.712,0,186,645,0.712,20210720-CARP-002-A
7/20/21 17:51,1.63E+12,1583575,7/20/21,17:51:19,FO,16,203,702,0,-,0.711,0,203,702,0.711,20210720-CARP-002-A
7/20/21 17:51,1.63E+12,1592581,7/20/21,17:51:28,FO,17,198,656,0,-,0.698,0,198,656,0.698,20210720-CARP-002-A
7/20/21 17:51,1.63E+12,1601211,7/20/21,17:51:37,FO,18,191,640,0,-,0.702,0,191,640,0.702,20210720-CARP-002-A
7/20/21 17:51,1.63E+12,1610704,7/20/21,17:51:46,FO,19,217,702,0,-,0.691,0,217,702,0.691,20210720-CARP-002-A
7/20/21 17:51,1.63E+12,1620164,7/20/21,17:51:56,FO,20,258,845,0,-,0.695,0,258,845,0.695,20210720-CARP-002-A
7/20/21 17:52,1.63E+12,1627913,7/20/21,17:52:04,FO,21,226,803,0,-,0.719,0,226,803,0.719,20210720-CARP-002-A
7/20/21 17:52,1.63E+12,1636222,7/20/21,17:52:12,FO,22,221,766,0,-,0.711,0,221,766,0.711,20210720-CARP-002-A
7/20/21 17:52,1.63E+12,1645502,7/20/21,17:52:21,FO,23,226,795,0,-,0.716,0,226,795,0.716,20210720-CARP-002-A
7/20/21 17:52,1.63E+12,1677458,7/20/21,17:52:53,FO,24,1,6,0,-,-,-,1,6,-,NA
7/20/21 17:52,1.63E+12,1681629,7/20/21,17:52:57,FO,25,1,2,0,-,-,-,1,2,-,NA
7/20/21 17:56,1.63E+12,1881918,7/20/21,17:56:18,FO,26,211,657,0,-,0.679,0,211,657,0.679,20210720-CARP-002-B
7/20/21 17:56,1.63E+12,1889054,7/20/21,17:56:25,FO,27,201,636,0,-,0.684,0,201,636,0.684,20210720-CARP-002-B
7/20/21 17:56,1.63E+12,1898801,7/20/21,17:56:35,FO,28,191,629,0,-,0.696,0,191,629,0.696,20210720-CARP-002-B
7/20/21 17:56,1.63E+12,1904745,7/20/21,17:56:40,FO,29,193,613,0,-,0.685,0,193,613,0.685,20210720-CARP-002-B
7/20/21 17:56,1.63E+12,1912198,7/20/21,17:56:48,FO,30,187,604,0,-,0.69,0,187,604,0.69,20210720-CARP-002-B
7/20/21 17:56,1.63E+12,1918179,7/20/21,17:56:54,FO,31,178,577,0,-,0.692,0,178,577,0.692,20210720-CARP-002-B
7/20/21 17:57,1.63E+12,1925671,7/20/21,17:57:01,FO,32,169,541,0,-,0.688,0,169,541,0.688,20210720-CARP-002-B
