sp_code,taxon_phylum,taxon_class,taxon_order,taxon_family,taxon_genus,group,mobility,growth_morph,scientific_name,growth_form,gf_code,pigment_type,height_class,life_habit,longevity,thallus_length,blade_length,exposure_tolerance,photosynthetic_pigment,depth_range,dispersal_mechanism,reproductive_season,reproductive_cycle,spore_diameter_microm,spore_density_gcc,notes,growth_form_source,height_class_source,life_habit_source,longevity_source,thallus_length_source,blade_length_source,exposure_tolerance_source,photosynthetic_pigment_source,depth_range_source,dispersal_mechanism_source,reproductive_season_source,reproductive_cycle_source,spore_diameter_microm_source,spore_density_gcc_source
AMZO,Rhodophyta,Florideophyceae,Corallinales,Lithophyllaceae,Amphiroa,algae,sessile,aggregated,Amphiroa beauvoisii,articulated_calcareous,AC,red,turf,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
AU,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Acrosorium,algae,sessile,aggregated,Acrosorium ciliolatum,corticated_foliose,CF,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
BF,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Cryptopleura,algae,sessile,aggregated,Cryptopleura ruprechtiana,corticated_macrophytes,CM,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
BLD,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,-99999,algae,sessile,solitary,Unidentifiable juvenile kelp,leathery_macrophyte,LM,brown,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
BO,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Bossiella,algae,sessile,aggregated,Bossiella orbigniana,articulated_calcareous,AC,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
BPSE,Rhodophyta,Florideophyceae,Rhodymeniales,Rhodomelaceae,Botryocladia,algae,sessile,solitary,Botryocladia pseudodichotoma,cushion,C,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
BR,Rhodophyta,Florideophyceae,-99999,-99999,-99999,algae,sessile,aggregated,Halymenia spp.; Schizymenia pacifica,corticated_foliose,CF,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
BRA,Rhodophyta,-99999,-99999,-99999,-99999,algae,sessile,aggregated,Unidentifiable Branching Red Alga,unc_red,UR,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
CAL,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Calliarthron,algae,sessile,aggregated,Calliarthron cheilosporioides,articulated_calcareous,AC,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
CC,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Chondracanthus,algae,sessile,solitary,Chondracanthus corymbiferus; Chondracanthus exasperatus,leathery_macrophyte,LM,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
CF,Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Callophyllis,algae,sessile,solitary,Callophyllis flabellulata,corticated_macrophytes,CM,red,,,,,,,,,,,,17.3,1.102,,Steneck and Dethier 1994,,,,,,,,,,,,Coon et al. ,Coon et al. 
