Datetime,Time (abs/ms),Time (rel/ms),Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Y (II),1:ETR,1:Fo,1:Fm,1:Fv/Fm,specimen_ID,notes
6/30/21 15:56,1.63E+12,31024,6/30/21,15:56:35,FO,1,0,4,0,-,-,0,4,-,NA,
6/30/21 15:56,1.63E+12,47201,6/30/21,15:56:51,FO,2,248,680,0,0.635,0,248,680,0.635,20210630-MOHK-001,
6/30/21 15:57,1.63E+12,55831,6/30/21,15:57:00,FO,3,218,673,0,0.676,0,218,673,0.676,20210630-MOHK-001,
6/30/21 15:57,1.63E+12,72705,6/30/21,15:57:17,FO,4,215,704,0,0.695,0,215,704,0.695,20210630-MOHK-001,
6/30/21 15:57,1.63E+12,84748,6/30/21,15:57:29,FO,5,208,701,0,0.703,0,208,701,0.703,20210630-MOHK-001,
6/30/21 15:57,1.63E+12,95531,6/30/21,15:57:40,FO,6,176,602,0,0.708,0,176,602,0.708,20210630-MOHK-001,
6/30/21 15:57,1.63E+12,110586,6/30/21,15:57:55,FO,7,174,567,0,0.693,0,174,567,0.693,20210630-MOHK-001,
6/30/21 15:58,1.63E+12,119907,6/30/21,15:58:04,FO,8,191,547,0,0.651,0,191,547,0.651,20210630-MOHK-001,
6/30/21 15:58,1.63E+12,133140,6/30/21,15:58:17,FO,9,216,686,0,0.685,0,216,686,0.685,20210630-MOHK-001,
6/30/21 15:58,1.63E+12,145546,6/30/21,15:58:30,FO,10,198,676,0,0.707,0,198,676,0.707,20210630-MOHK-001,
6/30/21 15:58,1.63E+12,154542,6/30/21,15:58:39,FO,11,192,643,0,0.701,0,192,643,0.701,20210630-MOHK-001,
6/30/21 15:58,1.63E+12,164135,6/30/21,15:58:48,FO,12,2,8,0,-,-,2,8,-,NA,
6/30/21 15:58,1.63E+12,167960,6/30/21,15:58:52,FO,13,1,7,0,-,-,1,7,-,NA,
6/30/21 15:58,1.63E+12,171864,6/30/21,15:58:56,FO,14,2,10,0,-,-,2,10,-,NA,
6/30/21 16:01,1.63E+12,321766,6/30/21,16:01:26,FO,15,182,558,0,0.674,0,182,558,0.674,20210630-MOHK-002,
6/30/21 16:01,1.63E+12,331360,6/30/21,16:01:35,FO,16,169,572,0,0.705,0,169,572,0.705,20210630-MOHK-002,
6/30/21 16:01,1.63E+12,344828,6/30/21,16:01:49,FO,17,203,639,0,0.682,0,203,639,0.682,20210630-MOHK-002,
6/30/21 16:02,1.63E+12,355840,6/30/21,16:02:00,FO,18,181,606,0,0.701,0,181,606,0.701,20210630-MOHK-002,
6/30/21 16:02,1.63E+12,363796,6/30/21,16:02:08,FO,19,210,687,0,0.694,0,210,687,0.694,20210630-MOHK-002,
6/30/21 16:02,1.63E+12,373015,6/30/21,16:02:17,FO,20,184,533,0,0.655,0,184,533,0.655,20210630-MOHK-002,
6/30/21 16:02,1.63E+12,383289,6/30/21,16:02:27,FO,21,194,638,0,0.696,0,194,638,0.696,20210630-MOHK-002,
6/30/21 16:02,1.63E+12,393293,6/30/21,16:02:37,FO,22,201,636,0,0.684,0,201,636,0.684,20210630-MOHK-002,
6/30/21 16:02,1.63E+12,401819,6/30/21,16:02:46,FO,23,169,553,0,0.694,0,169,553,0.694,20210630-MOHK-002,
6/30/21 16:02,1.63E+12,409518,6/30/21,16:02:54,FO,24,167,546,0,0.694,0,167,546,0.694,20210630-MOHK-002,
6/30/21 16:04,1.63E+12,477475,6/30/21,16:04:02,FO,25,1,2,0,-,-,1,2,-,NA,
6/30/21 16:04,1.63E+12,481939,6/30/21,16:04:06,FO,26,1,5,0,-,-,1,5,-,NA,
6/30/21 16:04,1.63E+12,485615,6/30/21,16:04:10,FO,27,0,4,0,-,-,0,4,-,NA,
6/30/21 16:04,1.63E+12,496561,6/30/21,16:04:21,FO,28,222,654,0,0.661,0,222,654,0.661,20210630-MOHK-003,
6/30/21 16:04,1.63E+12,503871,6/30/21,16:04:28,FO,29,193,562,0,0.657,0,193,562,0.657,20210630-MOHK-003,
6/30/21 16:04,1.63E+12,512224,6/30/21,16:04:36,FO,30,161,619,0,0.74,0,161,619,0.74,20210630-MOHK-003,
6/30/21 16:04,1.63E+12,518529,6/30/21,16:04:43,FO,31,151,590,0,0.744,0,151,590,0.744,20210630-MOHK-003,
6/30/21 16:04,1.63E+12,527718,6/30/21,16:04:52,FO,32,169,562,0,0.699,0,169,562,0.699,20210630-MOHK-003,
6/30/21 16:05,1.63E+12,539288,6/30/21,16:05:03,FO,33,179,581,0,0.692,0,179,581,0.692,20210630-MOHK-003,
6/30/21 16:05,1.63E+12,549698,6/30/21,16:05:14,FO,34,221,737,0,0.7,0,221,737,0.7,20210630-MOHK-003,
6/30/21 16:05,1.63E+12,556903,6/30/21,16:05:21,FO,35,129,600,0,0.785,0,129,600,0.785,20210630-MOHK-003,
6/30/21 16:05,1.63E+12,564068,6/30/21,16:05:28,FO,36,185,596,0,0.69,0,185,596,0.69,20210630-MOHK-003,
