Datetime,Time (abs/ms),Time (rel/ms),Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Y (II),1:ETR,1:Fo,1:Fm,1:Fv/Fm,specimen_ID,subsample_ID
7/21/21 18:57,1.63E+12,1274851,7/21/21,18:57:20,FO,1,14,14,0,-,-,14,14,0,NA,NA
7/21/21 18:57,1.63E+12,1278742,7/21/21,18:57:24,FO,2,0,15,0,-,-,0,15,-,NA,NA
7/21/21 18:58,1.63E+12,1321859,7/21/21,18:58:07,FO,3,119,252,0,0.528,0,119,252,0.528,20210721-BULL-001,20210721-BULL-001-A
7/21/21 18:58,1.63E+12,1328685,7/21/21,18:58:14,FO,4,140,304,0,0.539,0,140,304,0.539,20210721-BULL-001,20210721-BULL-001-A
7/21/21 18:58,1.63E+12,1339278,7/21/21,18:58:24,FO,5,187,376,0,0.503,0,187,376,0.503,20210721-BULL-001,20210721-BULL-001-A
7/21/21 18:58,1.63E+12,1346027,7/21/21,18:58:31,FO,6,165,367,0,0.55,0,165,367,0.55,20210721-BULL-001,20210721-BULL-001-A
7/21/21 18:58,1.63E+12,1353150,7/21/21,18:58:38,FO,7,209,448,0,0.533,0,209,448,0.533,20210721-BULL-001,20210721-BULL-001-A
7/21/21 18:58,1.63E+12,1360489,7/21/21,18:58:46,FO,8,163,342,0,0.523,0,163,342,0.523,20210721-BULL-001,20210721-BULL-001-A
7/21/21 18:58,1.63E+12,1368638,7/21/21,18:58:54,FO,9,172,349,0,0.507,0,172,349,0.507,20210721-BULL-001,20210721-BULL-001-A
7/21/21 18:59,1.63E+12,1377852,7/21/21,18:59:03,FO,10,157,324,0,0.515,0,157,324,0.515,20210721-BULL-001,20210721-BULL-001-A
7/21/21 18:59,1.63E+12,1385324,7/21/21,18:59:10,FO,11,212,446,0,0.525,0,212,446,0.525,20210721-BULL-001,20210721-BULL-001-A
7/21/21 18:59,1.63E+12,1396477,7/21/21,18:59:22,FO,12,188,386,0,0.513,0,188,386,0.513,20210721-BULL-001,20210721-BULL-001-A
7/21/21 18:59,1.63E+12,1405695,7/21/21,18:59:31,FO,13,160,295,0,0.458,0,160,295,0.458,20210721-BULL-001,20210721-BULL-001-A
7/21/21 18:59,1.63E+12,1413787,7/21/21,18:59:39,FO,14,172,328,0,0.476,0,172,328,0.476,20210721-BULL-001,20210721-BULL-001-A
7/21/21 18:59,1.63E+12,1424880,7/21/21,18:59:50,FO,15,3,7,0,-,-,3,7,-,NA,NA
7/21/21 18:59,1.63E+12,1433060,7/21/21,18:59:58,FO,16,0,4,0,-,-,0,4,-,NA,NA
7/21/21 19:02,1.63E+12,1588071,7/21/21,19:02:33,FO,17,188,368,0,0.489,0,188,368,0.489,20210721-BULL-002,20210721-BULL-002-A
7/21/21 19:02,1.63E+12,1598040,7/21/21,19:02:43,FO,18,206,442,0,0.534,0,206,442,0.534,20210721-BULL-002,20210721-BULL-002-A
7/21/21 19:02,1.63E+12,1613284,7/21/21,19:02:58,FO,19,169,329,0,0.486,0,169,329,0.486,20210721-BULL-002,20210721-BULL-002-A
7/21/21 19:03,1.63E+12,1624522,7/21/21,19:03:10,FO,20,176,315,0,0.441,0,176,315,0.441,20210721-BULL-002,20210721-BULL-002-A
7/21/21 19:03,1.63E+12,1635067,7/21/21,19:03:20,FO,21,152,281,0,0.459,0,152,281,0.459,20210721-BULL-002,20210721-BULL-002-A
7/21/21 19:03,1.63E+12,1647039,7/21/21,19:03:32,FO,22,119,228,0,0.478,0,119,228,0.478,20210721-BULL-002,20210721-BULL-002-A
7/21/21 19:03,1.63E+12,1660557,7/21/21,19:03:46,FO,23,147,247,0,0.405,0,147,247,0.405,20210721-BULL-002,20210721-BULL-002-A
7/21/21 19:03,1.63E+12,1666615,7/21/21,19:03:52,FO,24,177,372,0,0.524,0,177,372,0.524,20210721-BULL-002,20210721-BULL-002-A
7/21/21 19:04,1.63E+12,1683688,7/21/21,19:04:09,FO,25,152,281,0,0.459,0,152,281,0.459,20210721-BULL-002,20210721-BULL-002-A
7/21/21 19:04,1.63E+12,1693989,7/21/21,19:04:19,FO,26,151,242,0,0.376,0,151,242,0.376,20210721-BULL-002,20210721-BULL-002-A
7/21/21 19:04,1.63E+12,1702084,7/21/21,19:04:27,FO,27,170,306,0,0.444,0,170,306,0.444,20210721-BULL-002,20210721-BULL-002-A
7/21/21 19:04,1.63E+12,1710531,7/21/21,19:04:36,FO,28,170,332,0,0.488,0,170,332,0.488,20210721-BULL-002,20210721-BULL-002-A
7/21/21 19:04,1.63E+12,1725561,7/21/21,19:04:51,FO,29,0,3,0,-,-,0,3,-,NA,NA
7/21/21 19:04,1.63E+12,1729342,7/21/21,19:04:55,FO,30,0,2,0,-,-,0,2,-,NA,NA
7/21/21 19:07,1.63E+12,1881609,7/21/21,19:07:27,FO,31,170,295,0,0.424,0,170,295,0.424,20210721-BULL-003,20210721-BULL-003-A
