Datetime,Time (abs/ms),Time (rel/ms),Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Y (II),1:ETR,1:Fo,1:Fm,1:Fv/Fm,specimen_ID,subsample_ID
7/22/21 17:13,1.63E+12,50554,7/22/21,17:13:38,FO,1,172,568,0,0.697,0,172,568,0.697,20210722-AQUE-001,
7/22/21 17:13,1.63E+12,59957,7/22/21,17:13:47,FO,2,194,602,0,0.678,0,194,602,0.678,20210722-AQUE-001,
7/22/21 17:13,1.63E+12,67031,7/22/21,17:13:54,FO,3,193,473,0,0.592,0,193,473,0.592,20210722-AQUE-001,
7/22/21 17:14,1.63E+12,75729,7/22/21,17:14:03,FO,4,221,221,0,0,0,221,221,0,NA,
7/22/21 17:14,1.63E+12,88415,7/22/21,17:14:16,FO,5,247,656,0,0.623,0,247,656,0.623,20210722-AQUE-001,
7/22/21 17:14,1.63E+12,95613,7/22/21,17:14:23,FO,6,221,620,0,0.644,0,221,620,0.644,20210722-AQUE-001,
7/22/21 17:14,1.63E+12,101773,7/22/21,17:14:29,FO,7,230,721,0,0.681,0,230,721,0.681,20210722-AQUE-001,
7/22/21 17:14,1.63E+12,107998,7/22/21,17:14:35,FO,8,220,640,0,0.656,0,220,640,0.656,20210722-AQUE-001,
7/22/21 17:14,1.63E+12,116136,7/22/21,17:14:43,FO,9,231,520,0,0.556,0,231,520,0.556,20210722-AQUE-001,
7/22/21 17:14,1.63E+12,127852,7/22/21,17:14:55,FO,10,237,823,0,0.712,0,237,823,0.712,20210722-AQUE-001,
7/22/21 17:15,1.63E+12,136343,7/22/21,17:15:04,FO,11,265,672,0,0.606,0,265,672,0.606,20210722-AQUE-001,
7/22/21 17:15,1.63E+12,140201,7/22/21,17:15:07,FO,12,0,3,0,-,-,0,3,-,NA,
7/22/21 17:15,1.63E+12,145411,7/22/21,17:15:13,FO,13,0,3,0,-,-,0,3,-,NA,
7/22/21 17:17,1.63E+12,304720,7/22/21,17:17:52,FO,14,215,733,0,0.707,0,215,733,0.707,20210722-AQUE-002,
7/22/21 17:18,1.63E+12,313712,7/22/21,17:18:01,FO,15,203,735,0,0.724,0,203,735,0.724,20210722-AQUE-002,
7/22/21 17:18,1.63E+12,322261,7/22/21,17:18:10,FO,16,213,764,0,0.721,0,213,764,0.721,20210722-AQUE-002,
7/22/21 17:18,1.63E+12,329696,7/22/21,17:18:17,FO,17,209,729,0,0.713,0,209,729,0.713,20210722-AQUE-002,
7/22/21 17:18,1.63E+12,337738,7/22/21,17:18:25,FO,18,220,606,0,0.637,0,220,606,0.637,20210722-AQUE-002,
7/22/21 17:18,1.63E+12,345614,7/22/21,17:18:33,FO,19,219,750,0,0.708,0,219,750,0.708,20210722-AQUE-002,
7/22/21 17:18,1.63E+12,352028,7/22/21,17:18:39,FO,20,238,886,0,0.731,0,238,886,0.731,20210722-AQUE-002,
7/22/21 17:18,1.63E+12,357952,7/22/21,17:18:45,FO,21,208,763,0,0.727,0,208,763,0.727,20210722-AQUE-002,
7/22/21 17:18,1.63E+12,365758,7/22/21,17:18:53,FO,22,213,716,0,0.703,0,213,716,0.703,20210722-AQUE-002,
7/22/21 17:19,1.63E+12,372802,7/22/21,17:19:00,FO,23,214,735,0,0.709,0,214,735,0.709,20210722-AQUE-002,
7/22/21 17:19,1.63E+12,383398,7/22/21,17:19:11,FO,24,1,11,0,-,-,1,11,-,NA,
7/22/21 17:19,1.63E+12,388326,7/22/21,17:19:16,FO,25,0,9,0,-,-,0,9,-,NA,
