Datetime,Time (abs/ms),Time (rel/ms),Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Y (II),1:ETR,specimen_ID
4/5/22 16:52,1.65E+12,3032,4/5/22,16:52:22,FO,4,5,9,0,-,-,NA
4/5/22 16:52,1.65E+12,8050,4/5/22,16:52:27,FO,5,8,11,0,-,-,NA
4/5/22 16:52,1.65E+12,12131,4/5/22,16:52:31,FO,6,7,10,0,-,-,NA
4/5/22 16:52,1.65E+12,20311,4/5/22,16:52:39,FO,7,130,494,0,0.737,0,20220405-MOHK-001-A
4/5/22 16:52,1.65E+12,24350,4/5/22,16:52:43,FO,8,129,510,0,0.747,0,20220405-MOHK-001-A
4/5/22 16:52,1.65E+12,28775,4/5/22,16:52:48,FO,9,112,557,0,0.799,0,20220405-MOHK-001-A
4/5/22 16:52,1.65E+12,32866,4/5/22,16:52:52,FO,10,108,579,0,0.813,0,20220405-MOHK-001-A
4/5/22 16:52,1.65E+12,37617,4/5/22,16:52:57,FO,11,114,435,0,0.738,0,20220405-MOHK-001-A
4/5/22 16:53,1.65E+12,42313,4/5/22,16:53:01,FO,12,109,522,0,0.791,0,20220405-MOHK-001-A
4/5/22 16:53,1.65E+12,46539,4/5/22,16:53:06,FO,13,99,496,0,0.8,0,20220405-MOHK-001-A
4/5/22 16:53,1.65E+12,51939,4/5/22,16:53:11,FO,14,84,484,0,0.826,0,20220405-MOHK-001-A
4/5/22 16:53,1.65E+12,62555,4/5/22,16:53:22,FO,15,134,561,0,0.761,0,20220405-MOHK-001-A
4/5/22 16:53,1.65E+12,68364,4/5/22,16:53:27,FO,16,94,496,0,0.81,0,20220405-MOHK-001-A
4/5/22 16:53,1.65E+12,75063,4/5/22,16:53:34,FO,17,1,10,0,-,-,NA
4/5/22 16:53,1.65E+12,78860,4/5/22,16:53:38,FO,18,3,10,0,-,-,NA
4/5/22 16:56,1.65E+12,220115,4/5/22,16:55:59,FO,19,153,555,0,0.724,0,20220405-MOHK-001-B
4/5/22 16:56,1.65E+12,227340,4/5/22,16:56:06,FO,20,110,458,0,0.76,0,20220405-MOHK-001-B
4/5/22 16:56,1.65E+12,233812,4/5/22,16:56:13,FO,21,70,484,0,0.855,0,20220405-MOHK-001-B
4/5/22 16:56,1.65E+12,244959,4/5/22,16:56:24,FO,22,166,666,0,0.751,0,20220405-MOHK-001-B
4/5/22 16:56,1.65E+12,251907,4/5/22,16:56:31,FO,23,111,509,0,0.782,0,20220405-MOHK-001-B
4/5/22 16:56,1.65E+12,258565,4/5/22,16:56:38,FO,24,113,470,0,0.76,0,20220405-MOHK-001-B
4/5/22 16:56,1.65E+12,268761,4/5/22,16:56:48,FO,25,117,530,0,0.779,0,20220405-MOHK-001-B
4/5/22 16:56,1.65E+12,275447,4/5/22,16:56:55,FO,26,128,581,0,0.78,0,20220405-MOHK-001-B
4/5/22 16:57,1.65E+12,281936,4/5/22,16:57:01,FO,27,128,496,0,0.742,0,20220405-MOHK-001-B
4/5/22 16:57,1.65E+12,292926,4/5/22,16:57:12,FO,28,184,641,0,0.713,0,20220405-MOHK-001-B
4/5/22 16:57,1.65E+12,298942,4/5/22,16:57:18,FO,29,3,6,0,-,-,NA
4/5/22 16:57,1.65E+12,303067,4/5/22,16:57:22,FO,30,5,6,0,-,-,NA
4/5/22 16:59,1.65E+12,407661,4/5/22,16:59:07,FO,31,137,529,0,0.741,0,20220405-MOHK-001-C
4/5/22 16:59,1.65E+12,417156,4/5/22,16:59:16,FO,32,140,530,0,0.736,0,20220405-MOHK-001-C
4/5/22 16:59,1.65E+12,423189,4/5/22,16:59:22,FO,33,125,518,0,0.759,0,20220405-MOHK-001-C
4/5/22 16:59,1.65E+12,428583,4/5/22,16:59:28,FO,34,98,528,0,0.814,0,20220405-MOHK-001-C
4/5/22 16:59,1.65E+12,433984,4/5/22,16:59:33,FO,35,78,494,0,0.842,0,20220405-MOHK-001-C
4/5/22 16:59,1.65E+12,439210,4/5/22,16:59:38,FO,36,110,618,0,0.822,0,20220405-MOHK-001-C
4/5/22 16:59,1.65E+12,445116,4/5/22,16:59:44,FO,37,87,508,0,0.829,0,20220405-MOHK-001-C
4/5/22 16:59,1.65E+12,451666,4/5/22,16:59:51,FO,38,104,526,0,0.802,0,20220405-MOHK-001-C
4/5/22 16:59,1.65E+12,459142,4/5/22,16:59:58,FO,39,115,572,0,0.799,0,20220405-MOHK-001-C
4/5/22 17:00,1.65E+12,464535,4/5/22,17:00:04,FO,40,101,598,0,0.831,0,20220405-MOHK-001-C
4/5/22 17:00,1.65E+12,472056,4/5/22,17:00:11,FO,41,4,16,0,-,-,NA
4/5/22 17:00,1.65E+12,476531,4/5/22,17:00:16,FO,42,12,19,0,-,-,NA
4/5/22 17:00,1.65E+12,488585,4/5/22,17:00:28,FO,43,6,7,0,-,-,NA
4/5/22 17:01,1.65E+12,577945,4/5/22,17:01:57,FO,44,186,554,0,0.664,0,20220405-MOHK-001-D
4/5/22 17:02,1.65E+12,583674,4/5/22,17:02:03,FO,45,154,473,0,0.674,0,20220405-MOHK-001-D
4/5/22 17:02,1.65E+12,591478,4/5/22,17:02:11,FO,46,165,493,0,0.665,0,20220405-MOHK-001-D
4/5/22 17:02,1.65E+12,597675,4/5/22,17:02:17,FO,47,110,490,0,0.776,0,20220405-MOHK-001-D
