Datetime,Time (abs/ms),Time (rel/ms),Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Temp,1:Y (II),1:ETR,1:Fo',1:ETR-F.,1:qP,1:qN,1:qL,1:NPQ,1:Fo,1:Fm,1:Fv/Fm,specimen_ID,subsample_ID
4/7/22 15:38,1.65E+12,72646,4/7/22,15:38:20,FO,1,119,405,0,-,0.706,0,-,0.84,-,-,-,-,119,405,0.706,20220407-AQUE-001,20220407-AQUE-001-A
4/7/22 15:38,1.65E+12,78210,4/7/22,15:38:26,FO,2,103,474,0,-,0.783,0,-,0.84,-,-,-,-,103,474,0.783,20220407-AQUE-001,20220407-AQUE-001-A
4/7/22 15:38,1.65E+12,82393,4/7/22,15:38:30,FO,3,125,467,0,-,0.732,0,-,0.84,-,-,-,-,125,467,0.732,20220407-AQUE-001,20220407-AQUE-001-A
4/7/22 15:38,1.65E+12,85940,4/7/22,15:38:34,FO,4,122,400,0,-,0.695,0,-,0.84,-,-,-,-,122,400,0.695,20220407-AQUE-001,20220407-AQUE-001-A
4/7/22 15:38,1.65E+12,89996,4/7/22,15:38:38,FO,5,102,433,0,-,0.764,0,-,0.84,-,-,-,-,102,433,0.764,20220407-AQUE-001,20220407-AQUE-001-A
4/7/22 15:38,1.65E+12,93238,4/7/22,15:38:41,FO,6,131,465,0,-,0.718,0,-,0.84,-,-,-,-,131,465,0.718,20220407-AQUE-001,20220407-AQUE-001-A
4/7/22 15:38,1.65E+12,96604,4/7/22,15:38:44,FO,7,143,477,0,-,0.7,0,-,0.84,-,-,-,-,143,477,0.7,20220407-AQUE-001,20220407-AQUE-001-A
4/7/22 15:38,1.65E+12,100490,4/7/22,15:38:48,FO,8,121,383,0,-,0.684,0,-,0.84,-,-,-,-,121,383,0.684,20220407-AQUE-001,20220407-AQUE-001-A
4/7/22 15:38,1.65E+12,104237,4/7/22,15:38:52,FO,9,139,425,0,-,0.673,0,-,0.84,-,-,-,-,139,425,0.673,20220407-AQUE-001,20220407-AQUE-001-A
4/7/22 15:38,1.65E+12,107903,4/7/22,15:38:56,FO,10,107,291,0,-,0.632,0,-,0.84,-,-,-,-,107,291,0.632,20220407-AQUE-001,20220407-AQUE-001-A
4/7/22 15:39,1.65E+12,112547,4/7/22,15:39:00,FO,11,7,9,0,-,-,-,-,0.84,-,-,-,-,7,9,-,NA,NA
4/7/22 15:39,1.65E+12,116261,4/7/22,15:39:04,FO,12,6,8,0,-,-,-,-,0.84,-,-,-,-,6,8,-,NA,NA
4/7/22 15:40,1.65E+12,199733,4/7/22,15:40:28,FO,13,153,591,0,-,0.741,0,-,0.84,-,-,-,-,153,591,0.741,20220407-AQUE-001,20220407-AQUE-001-B
4/7/22 15:40,1.65E+12,205608,4/7/22,15:40:33,FO,14,93,360,0,-,0.742,0,-,0.84,-,-,-,-,93,360,0.742,20220407-AQUE-001,20220407-AQUE-001-B
4/7/22 15:40,1.65E+12,209806,4/7/22,15:40:38,FO,15,169,576,0,-,0.707,0,-,0.84,-,-,-,-,169,576,0.707,20220407-AQUE-001,20220407-AQUE-001-B
4/7/22 15:40,1.65E+12,214412,4/7/22,15:40:42,FO,16,137,439,0,-,0.688,0,-,0.84,-,-,-,-,137,439,0.688,20220407-AQUE-001,20220407-AQUE-001-B
4/7/22 15:40,1.65E+12,219543,4/7/22,15:40:47,FO,17,103,474,0,-,0.783,0,-,0.84,-,-,-,-,103,474,0.783,20220407-AQUE-001,20220407-AQUE-001-B
4/7/22 15:40,1.65E+12,223915,4/7/22,15:40:52,FO,18,95,407,0,-,0.767,0,-,0.84,-,-,-,-,95,407,0.767,20220407-AQUE-001,20220407-AQUE-001-B
4/7/22 15:40,1.65E+12,228072,4/7/22,15:40:56,FO,19,83,461,0,-,0.82,0,-,0.84,-,-,-,-,83,461,0.82,20220407-AQUE-001,20220407-AQUE-001-B
4/7/22 15:41,1.65E+12,232056,4/7/22,15:41:00,FO,20,138,457,0,-,0.698,0,-,0.84,-,-,-,-,138,457,0.698,20220407-AQUE-001,20220407-AQUE-001-B
4/7/22 15:41,1.65E+12,236935,4/7/22,15:41:05,FO,21,122,397,0,-,0.693,0,-,0.84,-,-,-,-,122,397,0.693,20220407-AQUE-001,20220407-AQUE-001-B
4/7/22 15:41,1.65E+12,241980,4/7/22,15:41:10,FO,22,113,511,0,-,0.779,0,-,0.84,-,-,-,-,113,511,0.779,20220407-AQUE-001,20220407-AQUE-001-B
4/7/22 15:41,1.65E+12,247301,4/7/22,15:41:15,FO,23,13,19,0,-,-,-,-,0.84,-,-,-,-,13,19,0.316,NA,NA
4/7/22 15:41,1.65E+12,251411,4/7/22,15:41:19,FO,24,9,19,0,-,-,-,-,0.84,-,-,-,-,9,19,-,NA,NA
4/7/22 15:43,1.65E+12,355126,4/7/22,15:43:03,FO,25,145,502,0,-,0.711,0,-,0.84,-,-,-,-,145,502,0.711,20220407-AQUE-001,20220407-AQUE-001-C
4/7/22 15:43,1.65E+12,359148,4/7/22,15:43:07,FO,26,112,393,0,-,0.715,0,-,0.84,-,-,-,-,112,393,0.715,20220407-AQUE-001,20220407-AQUE-001-C
4/7/22 15:43,1.65E+12,363159,4/7/22,15:43:11,FO,27,130,430,0,-,0.698,0,-,0.84,-,-,-,-,130,430,0.698,20220407-AQUE-001,20220407-AQUE-001-C
4/7/22 15:43,1.65E+12,367635,4/7/22,15:43:15,FO,28,137,388,0,-,0.647,0,-,0.84,-,-,-,-,137,388,0.647,20220407-AQUE-001,20220407-AQUE-001-C
4/7/22 15:43,1.65E+12,372412,4/7/22,15:43:20,FO,29,127,462,0,-,0.725,0,-,0.84,-,-,-,-,127,462,0.725,20220407-AQUE-001,20220407-AQUE-001-C
4/7/22 15:43,1.65E+12,377417,4/7/22,15:43:25,FO,30,115,481,0,-,0.761,0,-,0.84,-,-,-,-,115,481,0.761,20220407-AQUE-001,20220407-AQUE-001-C
4/7/22 15:43,1.65E+12,381704,4/7/22,15:43:29,FO,31,105,414,0,-,0.746,0,-,0.84,-,-,-,-,105,414,0.746,20220407-AQUE-001,20220407-AQUE-001-C
4/7/22 15:43,1.65E+12,386005,4/7/22,15:43:34,FO,32,144,505,0,-,0.715,0,-,0.84,-,-,-,-,144,505,0.715,20220407-AQUE-001,20220407-AQUE-001-C
4/7/22 15:43,1.65E+12,390278,4/7/22,15:43:38,FO,33,151,548,0,-,0.724,0,-,0.84,-,-,-,-,151,548,0.724,20220407-AQUE-001,20220407-AQUE-001-C
4/7/22 15:43,1.65E+12,394812,4/7/22,15:43:43,FO,34,133,431,0,-,0.691,0,-,0.84,-,-,-,-,133,431,0.691,20220407-AQUE-001,20220407-AQUE-001-C
4/7/22 15:43,1.65E+12,401048,4/7/22,15:43:49,FO,35,5,11,0,-,-,-,-,0.84,-,-,-,-,5,11,-,NA,NA
4/7/22 15:43,1.65E+12,404868,4/7/22,15:43:53,FO,36,5,9,0,-,-,-,-,0.84,-,-,-,-,5,9,-,NA,NA
4/7/22 15:45,1.65E+12,495777,4/7/22,15:45:24,FO,37,88,403,0,-,0.782,0,-,0.84,-,-,-,-,88,403,0.782,20220407-AQUE-001,20220407-AQUE-001-D
4/7/22 15:45,1.65E+12,501527,4/7/22,15:45:29,FO,38,100,418,0,-,0.761,0,-,0.84,-,-,-,-,100,418,0.761,20220407-AQUE-001,20220407-AQUE-001-D
4/7/22 15:45,1.65E+12,505676,4/7/22,15:45:33,FO,39,82,419,0,-,0.804,0,-,0.84,-,-,-,-,82,419,0.804,20220407-AQUE-001,20220407-AQUE-001-D
4/7/22 15:45,1.65E+12,509866,4/7/22,15:45:38,FO,40,76,400,0,-,0.81,0,-,0.84,-,-,-,-,76,400,0.81,20220407-AQUE-001,20220407-AQUE-001-D
4/7/22 15:45,1.65E+12,515116,4/7/22,15:45:43,FO,41,81,401,0,-,0.798,0,-,0.84,-,-,-,-,81,401,0.798,20220407-AQUE-001,20220407-AQUE-001-D
4/7/22 15:45,1.65E+12,520406,4/7/22,15:45:48,FO,42,88,390,0,-,0.774,0,-,0.84,-,-,-,-,88,390,0.774,20220407-AQUE-001,20220407-AQUE-001-D
4/7/22 15:45,1.65E+12,525385,4/7/22,15:45:53,FO,43,82,391,0,-,0.79,0,-,0.84,-,-,-,-,82,391,0.79,20220407-AQUE-001,20220407-AQUE-001-D
4/7/22 15:45,1.65E+12,530269,4/7/22,15:45:58,FO,44,88,361,0,-,0.756,0,-,0.84,-,-,-,-,88,361,0.756,20220407-AQUE-001,20220407-AQUE-001-D
4/7/22 15:46,1.65E+12,538154,4/7/22,15:46:06,FO,45,83,403,0,-,0.794,0,-,0.84,-,-,-,-,83,403,0.794,20220407-AQUE-001,20220407-AQUE-001-D
4/7/22 15:46,1.65E+12,543398,4/7/22,15:46:11,FO,46,121,399,0,-,0.697,0,-,0.84,-,-,-,-,121,399,0.697,20220407-AQUE-001,20220407-AQUE-001-D
4/7/22 15:46,1.65E+12,552573,4/7/22,15:46:20,FO,47,13,13,0,-,-,-,-,0.84,-,-,-,-,13,13,0,NA,NA
4/7/22 15:46,1.65E+12,556836,4/7/22,15:46:25,FO,48,8,9,0,-,-,-,-,0.84,-,-,-,-,8,9,-,NA,NA
4/7/22 15:48,1.65E+12,665166,4/7/22,15:48:13,FO,49,111,440,0,-,0.748,0,-,0.84,-,-,-,-,111,440,0.748,20220407-AQUE-001,20220407-AQUE-001-E
4/7/22 15:48,1.65E+12,669835,4/7/22,15:48:18,FO,50,66,452,0,-,0.854,0,-,0.84,-,-,-,-,66,452,0.854,20220407-AQUE-001,20220407-AQUE-001-E
4/7/22 15:48,1.65E+12,675375,4/7/22,15:48:23,FO,51,84,438,0,-,0.808,0,-,0.84,-,-,-,-,84,438,0.808,20220407-AQUE-001,20220407-AQUE-001-E
4/7/22 15:48,1.65E+12,681127,4/7/22,15:48:29,FO,52,77,433,0,-,0.822,0,-,0.84,-,-,-,-,77,433,0.822,20220407-AQUE-001,20220407-AQUE-001-E
4/7/22 15:48,1.65E+12,687263,4/7/22,15:48:35,FO,53,75,418,0,-,0.821,0,-,0.84,-,-,-,-,75,418,0.821,20220407-AQUE-001,20220407-AQUE-001-E
4/7/22 15:48,1.65E+12,698731,4/7/22,15:48:47,FO,54,106,419,0,-,0.747,0,-,0.84,-,-,-,-,106,419,0.747,20220407-AQUE-001,20220407-AQUE-001-E
4/7/22 15:48,1.65E+12,704352,4/7/22,15:48:52,FO,55,78,423,0,-,0.816,0,-,0.84,-,-,-,-,78,423,0.816,20220407-AQUE-001,20220407-AQUE-001-E
4/7/22 15:48,1.65E+12,709686,4/7/22,15:48:57,FO,56,79,469,0,-,0.832,0,-,0.84,-,-,-,-,79,469,0.832,20220407-AQUE-001,20220407-AQUE-001-E
4/7/22 15:49,1.65E+12,715318,4/7/22,15:49:03,FO,57,61,433,0,-,0.859,0,-,0.84,-,-,-,-,61,433,0.859,20220407-AQUE-001,20220407-AQUE-001-E
4/7/22 15:49,1.65E+12,722644,4/7/22,15:49:10,FO,58,122,493,0,-,0.753,0,-,0.84,-,-,-,-,122,493,0.753,20220407-AQUE-001,20220407-AQUE-001-E
4/7/22 15:49,1.65E+12,730420,4/7/22,15:49:18,FO,59,4,6,0,-,-,-,-,0.84,-,-,-,-,4,6,-,NA,NA
4/7/22 15:49,1.65E+12,734515,4/7/22,15:49:22,FO,60,6,9,0,-,-,-,-,0.84,-,-,-,-,6,9,-,NA,NA
4/7/22 15:51,1.65E+12,861541,4/7/22,15:51:29,FO,61,118,455,0,-,0.741,0,-,0.84,-,-,-,-,118,455,0.741,20220407-AQUE-001,20220407-AQUE-001-F
