Datetime,Time (abs/ms),Time (rel/ms),Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Temp,1:Y (II),1:ETR,1:Fo',1:qP,1:qN,1:qL,1:NPQ,1:Y (NO),1:Y (NPQ),1:Fo,1:Fm,1:Fv/Fm,1:AHum,1:Oxyg.,1:X1,1:X2,specimen_ID,subsample_ID
07/26/2022 18:36:41,1.66E+12,53940,7/26/22,18:36:40,FO,1,217,410,0,-,0.471,0,-,-,-,-,-,-,-,217,410,0.471,-,-,-,-,20220726-BULL-001,20220726-BULL-001-A
07/26/2022 18:36:51,1.66E+12,63783,7/26/22,18:36:50,FO,2,219,404,0,-,0.458,0,-,-,-,-,-,-,-,219,404,0.458,-,-,-,-,20220726-BULL-001,20220726-BULL-001-A
07/26/2022 18:36:59,1.66E+12,71637,7/26/22,18:36:58,FO,3,212,396,0,-,0.465,0,-,-,-,-,-,-,-,212,396,0.465,-,-,-,-,20220726-BULL-001,20220726-BULL-001-A
07/26/2022 18:37:08,1.66E+12,80830,7/26/22,18:37:07,FO,4,208,397,0,-,0.476,0,-,-,-,-,-,-,-,208,397,0.476,-,-,-,-,20220726-BULL-001,20220726-BULL-001-A
07/26/2022 18:37:16,1.66E+12,89525,7/26/22,18:37:16,FO,5,220,421,0,-,0.477,0,-,-,-,-,-,-,-,220,421,0.477,-,-,-,-,20220726-BULL-001,20220726-BULL-001-A
07/26/2022 18:37:23,1.66E+12,96289,7/26/22,18:37:23,FO,6,193,362,0,-,0.467,0,-,-,-,-,-,-,-,193,362,0.467,-,-,-,-,20220726-BULL-001,20220726-BULL-001-A
07/26/2022 18:37:31,1.66E+12,104477,7/26/22,18:37:31,FO,7,201,391,0,-,0.486,0,-,-,-,-,-,-,-,201,391,0.486,-,-,-,-,20220726-BULL-001,20220726-BULL-001-A
07/26/2022 18:37:40,1.66E+12,112949,7/26/22,18:37:39,FO,8,231,445,0,-,0.481,0,-,-,-,-,-,-,-,231,445,0.481,-,-,-,-,20220726-BULL-001,20220726-BULL-001-A
07/26/2022 18:37:48,1.66E+12,121069,7/26/22,18:37:47,FO,9,232,434,0,-,0.465,0,-,-,-,-,-,-,-,232,434,0.465,-,-,-,-,20220726-BULL-001,20220726-BULL-001-A
07/26/2022 18:38:08,1.66E+12,141029,7/26/22,18:38:07,FO,10,207,388,0,-,0.466,0,-,-,-,-,-,-,-,207,388,0.466,-,-,-,-,20220726-BULL-001,20220726-BULL-001-A
07/26/2022 18:39:14,1.66E+12,207019,7/26/22,18:39:13,FO,11,37,37,0,-,-,-,-,-,-,-,-,-,-,37,37,0,-,-,-,-,NA,NA
07/26/2022 18:39:18,1.66E+12,211317,7/26/22,18:39:18,FO,12,31,35,0,-,-,-,-,-,-,-,-,-,-,31,35,0.114,-,-,-,-,NA,NA
07/26/2022 18:39:31,1.66E+12,223670,7/26/22,18:39:30,FO,13,199,419,0,-,0.525,0,-,-,-,-,-,-,-,199,419,0.525,-,-,-,-,20220726-BULL-001,20220726-BULL-001-B
07/26/2022 18:39:39,1.66E+12,232401,7/26/22,18:39:39,FO,14,208,411,0,-,0.494,0,-,-,-,-,-,-,-,208,411,0.494,-,-,-,-,20220726-BULL-001,20220726-BULL-001-B
07/26/2022 18:39:48,1.66E+12,240718,7/26/22,18:39:47,FO,15,365,464,0,-,0.213,0,-,-,-,-,-,-,-,365,464,0.213,-,-,-,-,20220726-BULL-001,20220726-BULL-001-B
07/26/2022 18:40:00,1.66E+12,253118,7/26/22,18:40:00,FO,16,236,393,0,-,0.399,0,-,-,-,-,-,-,-,236,393,0.399,-,-,-,-,20220726-BULL-001,20220726-BULL-001-B
07/26/2022 18:40:08,1.66E+12,260822,7/26/22,18:40:07,FO,17,206,240,0,-,0.142,0,-,-,-,-,-,-,-,206,240,0.142,-,-,-,-,20220726-BULL-001,20220726-BULL-001-B
07/26/2022 18:40:18,1.66E+12,271095,7/26/22,18:40:17,FO,18,250,273,0,-,0.084,0,-,-,-,-,-,-,-,250,273,0.084,-,-,-,-,20220726-BULL-001,20220726-BULL-001-B
07/26/2022 18:40:31,1.66E+12,283683,7/26/22,18:40:30,FO,19,229,353,0,-,0.351,0,-,-,-,-,-,-,-,229,353,0.351,-,-,-,-,20220726-BULL-001,20220726-BULL-001-B
07/26/2022 18:40:40,1.66E+12,293140,7/26/22,18:40:40,FO,20,252,381,0,-,0.339,0,-,-,-,-,-,-,-,252,381,0.339,-,-,-,-,20220726-BULL-001,20220726-BULL-001-B
07/26/2022 18:40:49,1.66E+12,301703,7/26/22,18:40:48,FO,21,203,321,0,-,0.368,0,-,-,-,-,-,-,-,203,321,0.368,-,-,-,-,20220726-BULL-001,20220726-BULL-001-B
07/26/2022 18:40:59,1.66E+12,312260,7/26/22,18:40:59,FO,22,224,309,0,-,0.275,0,-,-,-,-,-,-,-,224,309,0.275,-,-,-,-,20220726-BULL-001,20220726-BULL-001-B
07/26/2022 18:41:06,1.66E+12,319427,7/26/22,18:41:06,FO,23,24,39,0,-,-,-,-,-,-,-,-,-,-,24,39,0.385,-,-,-,-,NA,NA
07/26/2022 18:41:10,1.66E+12,323194,7/26/22,18:41:10,FO,24,34,40,0,-,-,-,-,-,-,-,-,-,-,34,40,0.15,-,-,-,-,NA,NA
07/26/2022 18:42:53,1.66E+12,426538,7/26/22,18:42:53,FO,25,191,383,0,-,0.501,0,-,-,-,-,-,-,-,191,383,0.501,-,-,-,-,20220726-BULL-001,20220726-BULL-001-C
07/26/2022 18:43:02,1.66E+12,435407,7/26/22,18:43:02,FO,26,147,284,0,-,0.482,0,-,-,-,-,-,-,-,147,284,0.482,-,-,-,-,20220726-BULL-001,20220726-BULL-001-C
07/26/2022 18:43:12,1.66E+12,445475,7/26/22,18:43:12,FO,27,236,495,0,-,0.523,0,-,-,-,-,-,-,-,236,495,0.523,-,-,-,-,20220726-BULL-001,20220726-BULL-001-C
07/26/2022 18:43:20,1.66E+12,452811,7/26/22,18:43:19,FO,28,214,431,0,-,0.503,0,-,-,-,-,-,-,-,214,431,0.503,-,-,-,-,20220726-BULL-001,20220726-BULL-001-C
07/26/2022 18:43:27,1.66E+12,459793,7/26/22,18:43:26,FO,29,192,385,0,-,0.501,0,-,-,-,-,-,-,-,192,385,0.501,-,-,-,-,20220726-BULL-001,20220726-BULL-001-C
07/26/2022 18:43:33,1.66E+12,466104,7/26/22,18:43:32,FO,30,196,384,0,-,0.49,0,-,-,-,-,-,-,-,196,384,0.49,-,-,-,-,20220726-BULL-001,20220726-BULL-001-C
07/26/2022 18:43:40,1.66E+12,473188,7/26/22,18:43:40,FO,31,202,403,0,-,0.499,0,-,-,-,-,-,-,-,202,403,0.499,-,-,-,-,20220726-BULL-001,20220726-BULL-001-C
07/26/2022 18:43:48,1.66E+12,481015,7/26/22,18:43:47,FO,32,190,372,0,-,0.489,0,-,-,-,-,-,-,-,190,372,0.489,-,-,-,-,20220726-BULL-001,20220726-BULL-001-C
07/26/2022 18:43:56,1.66E+12,488759,7/26/22,18:43:55,FO,33,176,358,0,-,0.508,0,-,-,-,-,-,-,-,176,358,0.508,-,-,-,-,20220726-BULL-001,20220726-BULL-001-C
07/26/2022 18:44:04,1.66E+12,496708,7/26/22,18:44:03,FO,34,172,346,0,-,0.503,0,-,-,-,-,-,-,-,172,346,0.503,-,-,-,-,20220726-BULL-001,20220726-BULL-001-C
07/26/2022 18:44:12,1.66E+12,505473,7/26/22,18:44:12,FO,35,15,22,0,-,-,-,-,-,-,-,-,-,-,15,22,0.318,-,-,-,-,NA,NA
07/26/2022 18:44:16,1.66E+12,509541,7/26/22,18:44:16,FO,36,21,21,0,-,-,-,-,-,-,-,-,-,-,21,21,0,-,-,-,-,NA,NA
07/26/2022 18:46:18,1.66E+12,631334,7/26/22,18:46:18,FO,37,208,430,0,-,0.516,0,-,-,-,-,-,-,-,208,430,0.516,-,-,-,-,20220726-BULL-001,20220726-BULL-001-D
07/26/2022 18:46:25,1.66E+12,638613,7/26/22,18:46:25,FO,38,214,440,0,-,0.514,0,-,-,-,-,-,-,-,214,440,0.514,-,-,-,-,20220726-BULL-001,20220726-BULL-001-D
07/26/2022 18:46:40,1.66E+12,653505,7/26/22,18:46:40,FO,39,196,390,0,-,0.497,0,-,-,-,-,-,-,-,196,390,0.497,-,-,-,-,20220726-BULL-001,20220726-BULL-001-D
