Datetime,Time (abs/ms),Time (rel/ms),Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Temp,1:Y (II),1:ETR,1:Fo',1:ETR-F.,1:qP,1:qN,1:qL,1:NPQ,1:Y (NO),1:Y (NPQ),1:Fo,1:Fm,1:Fv/Fm,specimen_ID,subsample_ID
8/15/22 2:19 PM,1.6606E+12,145375,8/15/22,14:19:53,FO,1,99,195,0,-,0.492,0,-,0.84,-,-,-,-,-,-,99,195,0.492,20220815-MOHK-001,20220815-MOHK-001-A
8/15/22 2:20 PM,1.6606E+12,153682,8/15/22,14:20:01,FO,2,83,173,0,-,0.52,0,-,0.84,-,-,-,-,-,-,83,173,0.52,20220815-MOHK-001,20220815-MOHK-001-A
8/15/22 2:20 PM,1.6606E+12,160483,8/15/22,14:20:08,FO,3,119,237,0,-,0.498,0,-,0.84,-,-,-,-,-,-,119,237,0.498,20220815-MOHK-001,20220815-MOHK-001-A
8/15/22 2:20 PM,1.6606E+12,168922,8/15/22,14:20:16,FO,4,114,238,0,-,0.521,0,-,0.84,-,-,-,-,-,-,114,238,0.521,20220815-MOHK-001,20220815-MOHK-001-A
8/15/22 2:20 PM,1.6606E+12,176359,8/15/22,14:20:24,FO,5,97,194,0,-,0.5,0,-,0.84,-,-,-,-,-,-,97,194,0.5,20220815-MOHK-001,20220815-MOHK-001-A
8/15/22 2:20 PM,1.6606E+12,182834,8/15/22,14:20:30,FO,6,91,182,0,-,0.5,0,-,0.84,-,-,-,-,-,-,91,182,0.5,20220815-MOHK-001,20220815-MOHK-001-A
8/15/22 2:20 PM,1.6606E+12,192558,8/15/22,14:20:40,FO,7,104,230,0,-,0.548,0,-,0.84,-,-,-,-,-,-,104,230,0.548,20220815-MOHK-001,20220815-MOHK-001-A
8/15/22 2:20 PM,1.6606E+12,205609,8/15/22,14:20:53,FO,8,157,257,0,-,0.389,0,-,0.84,-,-,-,-,-,-,157,257,0.389,20220815-MOHK-001,20220815-MOHK-001-A
8/15/22 2:21 PM,1.6606E+12,212273,8/15/22,14:21:00,FO,9,124,260,0,-,0.523,0,-,0.84,-,-,-,-,-,-,124,260,0.523,20220815-MOHK-001,20220815-MOHK-001-A
8/15/22 2:21 PM,1.6606E+12,220172,8/15/22,14:21:08,FO,10,102,227,0,-,0.551,0,-,0.84,-,-,-,-,-,-,102,227,0.551,20220815-MOHK-001,20220815-MOHK-001-A
8/15/22 2:21 PM,1.6606E+12,229258,8/15/22,14:21:17,FO,11,1,4,0,-,-,-,-,0.84,-,-,-,-,-,-,1,4,-,NA,NA
8/15/22 2:21 PM,1.6606E+12,232921,8/15/22,14:21:20,FO,12,3,4,0,-,-,-,-,0.84,-,-,-,-,-,-,3,4,-,NA,NA
8/15/22 2:21 PM,1.6606E+12,260345,8/15/22,14:21:48,FO,13,117,221,0,-,0.471,0,-,0.84,-,-,-,-,-,-,117,221,0.471,20220815-MOHK-001,20220815-MOHK-001-B
8/15/22 2:21 PM,1.6606E+12,266970,8/15/22,14:21:55,FO,14,116,223,0,-,0.48,0,-,0.84,-,-,-,-,-,-,116,223,0.48,20220815-MOHK-001,20220815-MOHK-001-B
8/15/22 2:22 PM,1.6606E+12,273613,8/15/22,14:22:01,FO,15,83,174,0,-,0.523,0,-,0.84,-,-,-,-,-,-,83,174,0.523,20220815-MOHK-001,20220815-MOHK-001-B
