Datetime,Time (abs/ms),Time (rel/ms),Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Temp,1:Y (II),1:ETR,1:Fo',1:ETR-F.,1:qP,1:qN,1:qL,1:NPQ,1:Y (NO),1:Y (NPQ),1:Fo,1:Fm,1:Fv/Fm,specimen_ID,subsample_ID
8/18/22 3:42 PM,1.66086E+12,41467,8/18/22,15:42:26,FO,1,1,5,0,-,-,-,-,0.84,-,-,-,-,-,-,1,5,-,NA,NA
8/18/22 3:42 PM,1.66086E+12,44647,8/18/22,15:42:29,FO,2,2,6,0,-,-,-,-,0.84,-,-,-,-,-,-,2,6,-,NA,NA
8/18/22 3:44 PM,1.66086E+12,172504,8/18/22,15:44:37,FO,3,294,543,0,-,0.459,0,-,0.84,-,-,-,-,-,-,294,543,0.459,20220818-AQUE-001,20220818-AQUE-001-A
8/18/22 3:44 PM,1.66086E+12,188036,8/18/22,15:44:53,FO,4,341,558,0,-,0.389,0,-,0.84,-,-,-,-,-,-,341,558,0.389,20220818-AQUE-001,20220818-AQUE-001-A
8/18/22 3:45 PM,1.66086E+12,203284,8/18/22,15:45:08,FO,5,382,655,0,-,0.417,0,-,0.84,-,-,-,-,-,-,382,655,0.417,20220818-AQUE-001,20220818-AQUE-001-A
8/18/22 3:45 PM,1.66086E+12,232591,8/18/22,15:45:37,FO,6,271,416,0,-,0.349,0,-,0.84,-,-,-,-,-,-,271,416,0.349,20220818-AQUE-001,20220818-AQUE-001-A
8/18/22 3:46 PM,1.66086E+12,256492,8/18/22,15:46:01,FO,7,339,509,0,-,0.334,0,-,0.84,-,-,-,-,-,-,339,509,0.334,20220818-AQUE-001,20220818-AQUE-001-A
8/18/22 3:46 PM,1.66086E+12,277373,8/18/22,15:46:22,FO,8,389,599,0,-,0.351,0,-,0.84,-,-,-,-,-,-,389,599,0.351,20220818-AQUE-001,20220818-AQUE-001-A
8/18/22 3:46 PM,1.66086E+12,303808,8/18/22,15:46:48,FO,9,418,647,0,-,0.354,0,-,0.84,-,-,-,-,-,-,418,647,0.354,20220818-AQUE-001,20220818-AQUE-001-A
8/18/22 3:47 PM,1.66086E+12,323844,8/18/22,15:47:08,FO,10,397,618,0,-,0.358,0,-,0.84,-,-,-,-,-,-,397,618,0.358,20220818-AQUE-001,20220818-AQUE-001-A
8/18/22 3:47 PM,1.66086E+12,338503,8/18/22,15:47:23,FO,11,378,644,0,-,0.413,0,-,0.84,-,-,-,-,-,-,378,644,0.413,20220818-AQUE-001,20220818-AQUE-001-A
8/18/22 3:47 PM,1.66086E+12,353766,8/18/22,15:47:38,FO,12,315,514,0,-,0.387,0,-,0.84,-,-,-,-,-,-,315,514,0.387,20220818-AQUE-001,20220818-AQUE-001-A
8/18/22 3:47 PM,1.66086E+12,362284,8/18/22,15:47:47,FO,13,4,7,0,-,-,-,-,0.84,-,-,-,-,-,-,4,7,-,NA,NA
8/18/22 3:47 PM,1.66086E+12,365916,8/18/22,15:47:50,FO,14,3,7,0,-,-,-,-,0.84,-,-,-,-,-,-,3,7,-,NA,NA
