Datetime,Time (abs/ms),Time (rel/ms),Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Temp,1:Y (II),1:ETR,1:Fo',1:qP,1:qN,1:qL,1:NPQ,1:Y (NO),1:Y (NPQ),1:Fo,1:Fm,1:Fv/Fm,1:AHum,1:Oxyg.,1:X1,1:X2,specimen_ID,subsample_ID
8/24/22 15:43,1.66E+12,55148,8/24/22,15:43:30,FO,1,2,5,0,-,-,-,-,-,-,-,-,-,-,2,5,-,-,-,-,-,NA,NA
8/24/22 15:43,1.66E+12,59097,8/24/22,15:43:34,FO,2,3,6,0,-,-,-,-,-,-,-,-,-,-,3,6,-,-,-,-,-,NA,NA
8/24/22 15:45,1.66E+12,165681,8/24/22,15:45:21,FO,3,251,805,0,-,0.688,0,-,-,-,-,-,-,-,251,805,0.688,-,-,-,-,20220824-CARP-001,20220824-CARP-001-A
8/24/22 15:45,1.66E+12,176969,8/24/22,15:45:32,FO,4,240,798,0,-,0.699,0,-,-,-,-,-,-,-,240,798,0.699,-,-,-,-,20220824-CARP-001,20220824-CARP-001-A
8/24/22 15:45,1.66E+12,185842,8/24/22,15:45:41,FO,5,200,649,0,-,0.692,0,-,-,-,-,-,-,-,200,649,0.692,-,-,-,-,20220824-CARP-001,20220824-CARP-001-A
8/24/22 15:45,1.66E+12,201509,8/24/22,15:45:57,FO,6,312,1032,0,-,0.698,0,-,-,-,-,-,-,-,312,1032,0.698,-,-,-,-,20220824-CARP-001,20220824-CARP-001-A
8/24/22 15:46,1.66E+12,212782,8/24/22,15:46:08,FO,7,247,762,0,-,0.676,0,-,-,-,-,-,-,-,247,762,0.676,-,-,-,-,20220824-CARP-001,20220824-CARP-001-A
8/24/22 15:46,1.66E+12,221596,8/24/22,15:46:17,FO,8,247,853,0,-,0.71,0,-,-,-,-,-,-,-,247,853,0.71,-,-,-,-,20220824-CARP-001,20220824-CARP-001-A
8/24/22 15:46,1.66E+12,229415,8/24/22,15:46:25,FO,9,247,800,0,-,0.691,0,-,-,-,-,-,-,-,247,800,0.691,-,-,-,-,20220824-CARP-001,20220824-CARP-001-A
8/24/22 15:46,1.66E+12,238661,8/24/22,15:46:34,FO,10,183,610,0,-,0.7,0,-,-,-,-,-,-,-,183,610,0.7,-,-,-,-,20220824-CARP-001,20220824-CARP-001-A
8/24/22 15:46,1.66E+12,245849,8/24/22,15:46:41,FO,11,244,819,0,-,0.702,0,-,-,-,-,-,-,-,244,819,0.702,-,-,-,-,20220824-CARP-001,20220824-CARP-001-A
8/24/22 15:46,1.66E+12,256945,8/24/22,15:46:52,FO,12,226,735,0,-,0.693,0,-,-,-,-,-,-,-,226,735,0.693,-,-,-,-,20220824-CARP-001,20220824-CARP-001-A
8/24/22 15:46,1.66E+12,261274,8/24/22,15:46:56,FO,13,0,5,0,-,-,-,-,-,-,-,-,-,-,0,5,-,-,-,-,-,NA,NA
