Datetime,Time (abs/ms),Time (rel/ms),Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Temp,1:Y (II),1:ETR,1:Fo',1:qP,1:qN,1:qL,1:NPQ,1:Y (NO),1:Y (NPQ),1:Fo,1:Fm,1:Fv/Fm,1:AHum,1:Oxyg.,1:X1,1:X2,specimen_ID,subsample_ID
6/20/23 14:41,1.69E+12,880028,6/20/23,14:41:20,FO,1,278,426,0,-,0.347,0,-,-,-,-,-,-,-,278,426,0.347,-,-,-,-,20230620-NAPL-001,20230620-NAPL-001-A
6/20/23 14:41,1.69E+12,892570,6/20/23,14:41:33,FO,2,259,440,0,-,0.411,0,-,-,-,-,-,-,-,259,440,0.411,-,-,-,-,20230620-NAPL-001,20230620-NAPL-001-A
6/20/23 14:41,1.69E+12,905621,6/20/23,14:41:46,FO,3,245,443,0,-,0.447,0,-,-,-,-,-,-,-,245,443,0.447,-,-,-,-,20230620-NAPL-001,20230620-NAPL-001-A
6/20/23 14:42,1.69E+12,921005,6/20/23,14:42:01,FO,4,99,154,0,-,0.357,0,-,-,-,-,-,-,-,99,154,0.357,-,-,-,-,20230620-NAPL-001,20230620-NAPL-001-A
6/20/23 14:42,1.69E+12,935462,6/20/23,14:42:16,FO,5,43,80,0,-,0.463,0,-,-,-,-,-,-,-,43,80,0.463,-,-,-,-,20230620-NAPL-001,20230620-NAPL-001-A
6/20/23 14:42,1.69E+12,949876,6/20/23,14:42:30,FO,6,53,105,0,-,0.495,0,-,-,-,-,-,-,-,53,105,0.495,-,-,-,-,20230620-NAPL-001,20230620-NAPL-001-A
6/20/23 14:42,1.69E+12,957626,6/20/23,14:42:38,FO,7,20,20,0,-,-,-,-,-,-,-,-,-,-,20,20,-,-,-,-,-,NA,NA
6/20/23 14:42,1.69E+12,961081,6/20/23,14:42:41,FO,8,18,20,0,-,-,-,-,-,-,-,-,-,-,18,20,-,-,-,-,-,NA,NA
6/20/23 14:43,1.69E+12,1029500,6/20/23,14:43:50,FO,9,249,447,0,-,0.443,0,-,-,-,-,-,-,-,249,447,0.443,-,-,-,-,20230620-NAPL-001,20230620-NAPL-001-B
6/20/23 14:43,1.69E+12,1037576,6/20/23,14:43:58,FO,10,206,345,0,-,0.403,0,-,-,-,-,-,-,-,206,345,0.403,-,-,-,-,20230620-NAPL-001,20230620-NAPL-001-B
6/20/23 14:44,1.69E+12,1046591,6/20/23,14:44:07,FO,11,342,589,0,-,0.419,0,-,-,-,-,-,-,-,342,589,0.419,-,-,-,-,20230620-NAPL-001,20230620-NAPL-001-B
6/20/23 14:44,1.69E+12,1057224,6/20/23,14:44:17,FO,12,312,475,0,-,0.343,0,-,-,-,-,-,-,-,312,475,0.343,-,-,-,-,20230620-NAPL-001,20230620-NAPL-001-B
6/20/23 14:44,1.69E+12,1069263,6/20/23,14:44:29,FO,13,356,607,0,-,0.414,0,-,-,-,-,-,-,-,356,607,0.414,-,-,-,-,20230620-NAPL-001,20230620-NAPL-001-B
6/20/23 14:44,1.69E+12,1083598,6/20/23,14:44:44,FO,14,152,258,0,-,0.411,0,-,-,-,-,-,-,-,152,258,0.411,-,-,-,-,20230620-NAPL-001,20230620-NAPL-001-B
6/20/23 14:44,1.69E+12,1089473,6/20/23,14:44:50,FO,15,15,20,0,-,-,-,-,-,-,-,-,-,-,15,20,0.25,-,-,-,-,NA,NA
6/20/23 14:44,1.69E+12,1092916,6/20/23,14:44:53,FO,16,21,21,0,-,-,-,-,-,-,-,-,-,-,21,21,0,-,-,-,-,NA,NA
6/20/23 14:46,1.69E+12,1214133,6/20/23,14:46:54,FO,17,131,218,0,-,0.399,0,-,-,-,-,-,-,-,131,218,0.399,-,-,-,-,20230620-NAPL-001,20230620-NAPL-001-C
6/20/23 14:47,1.69E+12,1223570,6/20/23,14:47:04,FO,18,254,452,0,-,0.438,0,-,-,-,-,-,-,-,254,452,0.438,-,-,-,-,20230620-NAPL-001,20230620-NAPL-001-C
6/20/23 14:47,1.69E+12,1236592,6/20/23,14:47:17,FO,19,334,565,0,-,0.409,0,-,-,-,-,-,-,-,334,565,0.409,-,-,-,-,20230620-NAPL-001,20230620-NAPL-001-C
6/20/23 14:47,1.69E+12,1248987,6/20/23,14:47:29,FO,20,226,357,0,-,0.367,0,-,-,-,-,-,-,-,226,357,0.367,-,-,-,-,20230620-NAPL-001,20230620-NAPL-001-C
6/20/23 14:47,1.69E+12,1259029,6/20/23,14:47:39,FO,21,116,224,0,-,0.482,0,-,-,-,-,-,-,-,116,224,0.482,-,-,-,-,20230620-NAPL-001,20230620-NAPL-001-C
