Datetime,Time (abs/ms),Time (rel/ms),Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Temp,1:Y (II),1:ETR,1:Fo',1:qP,1:qN,1:qL,1:NPQ,1:Y (NO),1:Y (NPQ),1:Fo,1:Fm,1:Fv/Fm,1:AHum,1:Oxyg.,1:X1,1:X2,specimen_ID,subsample_ID
6/27/23 13:22,1.69E+12,121866,6/27/23,13:22:28,FO,1,172,465,0,-,0.63,0,-,-,-,-,-,-,-,172,465,0.63,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-A
6/27/23 13:22,1.69E+12,131260,6/27/23,13:22:37,FO,2,179,515,0,-,0.652,0,-,-,-,-,-,-,-,179,515,0.652,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-A
6/27/23 13:22,1.69E+12,138112,6/27/23,13:22:44,FO,3,157,486,0,-,0.677,0,-,-,-,-,-,-,-,157,486,0.677,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-A
6/27/23 13:22,1.69E+12,145605,6/27/23,13:22:51,FO,4,185,593,0,-,0.688,0,-,-,-,-,-,-,-,185,593,0.688,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-A
6/27/23 13:22,1.69E+12,152797,6/27/23,13:22:59,FO,5,154,523,0,-,0.706,0,-,-,-,-,-,-,-,154,523,0.706,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-A
6/27/23 13:23,1.69E+12,159709,6/27/23,13:23:05,FO,6,136,496,0,-,0.726,0,-,-,-,-,-,-,-,136,496,0.726,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-A
6/27/23 13:23,1.69E+12,167099,6/27/23,13:23:13,FO,7,129,452,0,-,0.715,0,-,-,-,-,-,-,-,129,452,0.715,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-A
6/27/23 13:23,1.69E+12,176243,6/27/23,13:23:22,FO,8,0,4,0,-,-,-,-,-,-,-,-,-,-,0,4,-,-,-,-,-,NA,NA
6/27/23 13:23,1.69E+12,179958,6/27/23,13:23:26,FO,9,0,4,0,-,-,-,-,-,-,-,-,-,-,0,4,-,-,-,-,-,NA,NA
6/27/23 13:23,1.69E+12,205993,6/27/23,13:23:52,FO,10,154,486,0,-,0.683,0,-,-,-,-,-,-,-,154,486,0.683,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-B
6/27/23 13:24,1.69E+12,213659,6/27/23,13:23:59,FO,11,168,541,0,-,0.689,0,-,-,-,-,-,-,-,168,541,0.689,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-B
6/27/23 13:24,1.69E+12,221043,6/27/23,13:24:07,FO,12,163,543,0,-,0.7,0,-,-,-,-,-,-,-,163,543,0.7,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-B
6/27/23 13:24,1.69E+12,228429,6/27/23,13:24:14,FO,13,174,614,0,-,0.717,0,-,-,-,-,-,-,-,174,614,0.717,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-B
6/27/23 13:24,1.69E+12,239706,6/27/23,13:24:25,FO,14,144,512,0,-,0.719,0,-,-,-,-,-,-,-,144,512,0.719,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-B
6/27/23 13:24,1.69E+12,247687,6/27/23,13:24:33,FO,15,140,532,0,-,0.737,0,-,-,-,-,-,-,-,140,532,0.737,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-B
6/27/23 13:24,1.69E+12,255590,6/27/23,13:24:41,FO,16,127,488,0,-,0.74,0,-,-,-,-,-,-,-,127,488,0.74,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-B
6/27/23 13:24,1.69E+12,259914,6/27/23,13:24:46,FO,17,4,5,0,-,-,-,-,-,-,-,-,-,-,4,5,-,-,-,-,-,NA,NA
6/27/23 13:24,1.69E+12,263432,6/27/23,13:24:49,FO,18,2,6,0,-,-,-,-,-,-,-,-,-,-,2,6,-,-,-,-,-,NA,NA
6/27/23 13:25,1.69E+12,289816,6/27/23,13:25:16,FO,19,145,529,0,-,0.726,0,-,-,-,-,-,-,-,145,529,0.726,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-C
6/27/23 13:25,1.69E+12,296870,6/27/23,13:25:23,FO,20,143,519,0,-,0.724,0,-,-,-,-,-,-,-,143,519,0.724,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-C
6/27/23 13:25,1.69E+12,306380,6/27/23,13:25:32,FO,21,174,614,0,-,0.717,0,-,-,-,-,-,-,-,174,614,0.717,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-C
6/27/23 13:25,1.69E+12,316169,6/27/23,13:25:42,FO,22,167,542,0,-,0.692,0,-,-,-,-,-,-,-,167,542,0.692,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-C
6/27/23 13:25,1.69E+12,325741,6/27/23,13:25:52,FO,23,222,667,0,-,0.667,0,-,-,-,-,-,-,-,222,667,0.667,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-C
6/27/23 13:26,1.69E+12,334135,6/27/23,13:26:00,FO,24,190,557,0,-,0.659,0,-,-,-,-,-,-,-,190,557,0.659,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-C
6/27/23 13:26,1.69E+12,341394,6/27/23,13:26:07,FO,25,2,6,0,-,-,-,-,-,-,-,-,-,-,2,6,-,-,-,-,-,NA,NA
6/27/23 13:26,1.69E+12,345209,6/27/23,13:26:11,FO,26,3,11,0,-,-,-,-,-,-,-,-,-,-,3,11,-,-,-,-,-,NA,NA
6/27/23 13:26,1.69E+12,374037,6/27/23,13:26:40,FO,27,158,544,0,-,0.71,0,-,-,-,-,-,-,-,158,544,0.71,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-D
6/27/23 13:26,1.69E+12,381276,6/27/23,13:26:47,FO,28,149,545,0,-,0.727,0,-,-,-,-,-,-,-,149,545,0.727,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-D
6/27/23 13:26,1.69E+12,388311,6/27/23,13:26:54,FO,29,145,528,0,-,0.725,0,-,-,-,-,-,-,-,145,528,0.725,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-D
6/27/23 13:27,1.69E+12,397053,6/27/23,13:27:03,FO,30,166,626,0,-,0.735,0,-,-,-,-,-,-,-,166,626,0.735,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-D
6/27/23 13:27,1.69E+12,406980,6/27/23,13:27:13,FO,31,135,531,0,-,0.746,0,-,-,-,-,-,-,-,135,531,0.746,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-D
6/27/23 13:27,1.69E+12,415750,6/27/23,13:27:22,FO,32,138,513,0,-,0.731,0,-,-,-,-,-,-,-,138,513,0.731,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-D
6/27/23 13:27,1.69E+12,421895,6/27/23,13:27:28,FO,33,0,20,0,-,-,-,-,-,-,-,-,-,-,0,20,-,-,-,-,-,NA,NA
6/27/23 13:27,1.69E+12,426083,6/27/23,13:27:32,FO,34,4,18,0,-,-,-,-,-,-,-,-,-,-,4,18,-,-,-,-,-,NA,NA
6/27/23 13:27,1.69E+12,448496,6/27/23,13:27:54,FO,35,179,525,0,-,0.659,0,-,-,-,-,-,-,-,179,525,0.659,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-E
6/27/23 13:28,1.69E+12,456737,6/27/23,13:28:03,FO,36,191,592,0,-,0.677,0,-,-,-,-,-,-,-,191,592,0.677,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-E
6/27/23 13:28,1.69E+12,464319,6/27/23,13:28:10,FO,37,165,507,0,-,0.675,0,-,-,-,-,-,-,-,165,507,0.675,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-E
6/27/23 13:28,1.69E+12,471783,6/27/23,13:28:18,FO,38,161,527,0,-,0.694,0,-,-,-,-,-,-,-,161,527,0.694,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-E
6/27/23 13:28,1.69E+12,479066,6/27/23,13:28:25,FO,39,181,587,0,-,0.692,0,-,-,-,-,-,-,-,181,587,0.692,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-E
6/27/23 13:28,1.69E+12,486216,6/27/23,13:28:32,FO,40,158,526,0,-,0.7,0,-,-,-,-,-,-,-,158,526,0.7,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-E
6/27/23 13:28,1.69E+12,491547,6/27/23,13:28:37,FO,41,3,7,0,-,-,-,-,-,-,-,-,-,-,3,7,-,-,-,-,-,NA,NA
6/27/23 13:28,1.69E+12,495471,6/27/23,13:28:41,FO,42,1,4,0,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,NA,NA
6/27/23 13:29,1.69E+12,518873,6/27/23,13:29:05,FO,43,161,537,0,-,0.7,0,-,-,-,-,-,-,-,161,537,0.7,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-F
6/27/23 13:29,1.69E+12,525908,6/27/23,13:29:12,FO,44,147,504,0,-,0.708,0,-,-,-,-,-,-,-,147,504,0.708,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-F
6/27/23 13:29,1.69E+12,532408,6/27/23,13:29:18,FO,45,156,520,0,-,0.7,0,-,-,-,-,-,-,-,156,520,0.7,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-F
6/27/23 13:29,1.69E+12,539191,6/27/23,13:29:25,FO,46,156,517,0,-,0.698,0,-,-,-,-,-,-,-,156,517,0.698,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-F
6/27/23 13:29,1.69E+12,545000,6/27/23,13:29:31,FO,47,162,522,0,-,0.69,0,-,-,-,-,-,-,-,162,522,0.69,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-F
6/27/23 13:29,1.69E+12,551927,6/27/23,13:29:38,FO,48,5,8,0,-,-,-,-,-,-,-,-,-,-,5,8,-,-,-,-,-,NA,NA
6/27/23 13:29,1.69E+12,555881,6/27/23,13:29:42,FO,49,3,6,0,-,-,-,-,-,-,-,-,-,-,3,6,-,-,-,-,-,NA,NA
6/27/23 13:30,1.69E+12,574313,6/27/23,13:30:00,FO,50,135,492,0,-,0.726,0,-,-,-,-,-,-,-,135,492,0.726,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-G
6/27/23 13:30,1.69E+12,582609,6/27/23,13:30:08,FO,51,118,473,0,-,0.751,0,-,-,-,-,-,-,-,118,473,0.751,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-G
6/27/23 13:30,1.69E+12,590911,6/27/23,13:30:17,FO,52,136,496,0,-,0.726,0,-,-,-,-,-,-,-,136,496,0.726,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-G
6/27/23 13:30,1.69E+12,598370,6/27/23,13:30:24,FO,53,149,546,0,-,0.727,0,-,-,-,-,-,-,-,149,546,0.727,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-G
6/27/23 13:30,1.69E+12,606404,6/27/23,13:30:32,FO,54,204,676,0,-,0.698,0,-,-,-,-,-,-,-,204,676,0.698,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-G
6/27/23 13:30,1.69E+12,611827,6/27/23,13:30:38,FO,55,7,8,0,-,-,-,-,-,-,-,-,-,-,7,8,-,-,-,-,-,NA,NA
6/27/23 13:30,1.69E+12,618649,6/27/23,13:30:44,FO,56,6,8,0,-,-,-,-,-,-,-,-,-,-,6,8,-,-,-,-,-,NA,NA
6/27/23 13:31,1.69E+12,644671,6/27/23,13:31:10,FO,57,189,546,0,-,0.654,0,-,-,-,-,-,-,-,189,546,0.654,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-H
6/27/23 13:31,1.69E+12,650900,6/27/23,13:31:17,FO,58,167,507,0,-,0.671,0,-,-,-,-,-,-,-,167,507,0.671,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-H
6/27/23 13:31,1.69E+12,657538,6/27/23,13:31:23,FO,59,153,481,0,-,0.682,0,-,-,-,-,-,-,-,153,481,0.682,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-H
6/27/23 13:31,1.69E+12,664708,6/27/23,13:31:30,FO,60,154,514,0,-,0.7,0,-,-,-,-,-,-,-,154,514,0.7,-,-,-,-,20230627-MOHK-001,20230627-MOHK-001-H
