Datetime,Time (abs/ms),Time (rel/ms),Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Temp,1:Y (II),1:ETR,1:Fo',1:ETR-F.,1:qP,1:qN,1:qL,1:NPQ,1:Y (NO),1:Y (NPQ),1:Fo,1:Fm,1:Fv/Fm,1:AHum,1:Oxyg.,1:X1,1:X2,specimen_ID,subsample_ID
6/27/23 13:59,1.69E+12,703297,6/27/23,13:59:09,FO,1,106,183,0,-,0.421,0,-,0.84,-,-,-,-,-,-,106,183,0.421,-,-,-,-,20230627-MOHK-002,20230627-MOHK-002-A
6/27/23 13:59,1.69E+12,715645,6/27/23,13:59:22,FO,2,108,192,0,-,0.438,0,-,0.84,-,-,-,-,-,-,108,192,0.438,-,-,-,-,20230627-MOHK-002,20230627-MOHK-002-A
6/27/23 13:59,1.69E+12,731335,6/27/23,13:59:37,FO,3,94,168,0,-,0.44,0,-,0.84,-,-,-,-,-,-,94,168,0.44,-,-,-,-,20230627-MOHK-002,20230627-MOHK-002-A
6/27/23 13:59,1.69E+12,744017,6/27/23,13:59:50,FO,4,80,172,0,-,0.535,0,-,0.84,-,-,-,-,-,-,80,172,0.535,-,-,-,-,20230627-MOHK-002,20230627-MOHK-002-A
6/27/23 14:00,1.69E+12,759733,6/27/23,14:00:06,FO,5,95,177,0,-,0.463,0,-,0.84,-,-,-,-,-,-,95,177,0.463,-,-,-,-,20230627-MOHK-002,20230627-MOHK-002-A
6/27/23 14:00,1.69E+12,778357,6/27/23,14:00:24,FO,6,95,173,0,-,0.451,0,-,0.84,-,-,-,-,-,-,95,173,0.451,-,-,-,-,20230627-MOHK-002,20230627-MOHK-002-A
6/27/23 14:00,1.69E+12,791179,6/27/23,14:00:37,FO,7,141,295,0,-,0.522,0,-,0.84,-,-,-,-,-,-,141,295,0.522,-,-,-,-,20230627-MOHK-002,20230627-MOHK-002-A
6/27/23 14:00,1.69E+12,797886,6/27/23,14:00:44,FO,8,95,185,0,-,0.486,0,-,0.84,-,-,-,-,-,-,95,185,0.486,-,-,-,-,NA,NA
6/27/23 14:00,1.69E+12,805988,6/27/23,14:00:52,FO,9,95,197,0,-,0.518,0,-,0.84,-,-,-,-,-,-,95,197,0.518,-,-,-,-,NA,NA
6/27/23 14:01,1.69E+12,821413,6/27/23,14:01:07,FO,10,1,6,0,-,-,-,-,0.84,-,-,-,-,-,-,1,6,-,-,-,-,-,NA,NA
6/27/23 14:01,1.69E+12,825289,6/27/23,14:01:11,FO,11,4,5,0,-,-,-,-,0.84,-,-,-,-,-,-,4,5,-,-,-,-,-,NA,NA
6/27/23 14:01,1.69E+12,840425,6/27/23,14:01:26,FO,12,73,135,0,-,0.459,0,-,0.84,-,-,-,-,-,-,73,135,0.459,-,-,-,-,20230627-MOHK-002,20230627-MOHK-002-B
6/27/23 14:01,1.69E+12,849660,6/27/23,14:01:36,FO,13,42,79,0,-,0.468,0,-,0.84,-,-,-,-,-,-,42,79,0.468,-,-,-,-,20230627-MOHK-002,20230627-MOHK-002-B
6/27/23 14:01,1.69E+12,863057,6/27/23,14:01:49,FO,14,154,268,0,-,0.425,0,-,0.84,-,-,-,-,-,-,154,268,0.425,-,-,-,-,20230627-MOHK-002,20230627-MOHK-002-B
6/27/23 14:02,1.69E+12,874988,6/27/23,14:02:01,FO,15,147,270,0,-,0.456,0,-,0.84,-,-,-,-,-,-,147,270,0.456,-,-,-,-,20230627-MOHK-002,20230627-MOHK-002-B
6/27/23 14:02,1.69E+12,886659,6/27/23,14:02:13,FO,16,73,142,0,-,0.486,0,-,0.84,-,-,-,-,-,-,73,142,0.486,-,-,-,-,20230627-MOHK-002,20230627-MOHK-002-B
