Datetime,Time (abs/ms),Time (rel/ms),Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Temp,1:Y (II),1:ETR,1:Fo',1:ETR-F.,1:qP,1:qN,1:qL,1:NPQ,1:Y (NO),1:Y (NPQ),1:Fo,1:Fm,1:Fv/Fm,1:AHum,1:Oxyg.,1:X1,1:X2,specimen_ID,subsample_ID
7/11/23 13:44,1.68911E+12,266602,7/11/23,13:44:18,FO,1,333,550,0,-,0.395,0,-,0.84,-,-,-,-,-,-,333,550,0.395,-,-,-,-,20230711-NAPL-001,20230711-NAPL-001-A
7/11/23 13:44,1.68911E+12,276916,7/11/23,13:44:28,FO,2,295,504,0,-,0.415,0,-,0.84,-,-,-,-,-,-,295,504,0.415,-,-,-,-,20230711-NAPL-001,20230711-NAPL-001-A
7/11/23 13:44,1.68911E+12,286022,7/11/23,13:44:37,FO,3,355,609,0,-,0.417,0,-,0.84,-,-,-,-,-,-,355,609,0.417,-,-,-,-,20230711-NAPL-001,20230711-NAPL-001-A
7/11/23 13:44,1.68911E+12,295807,7/11/23,13:44:47,FO,4,374,640,0,-,0.416,0,-,0.84,-,-,-,-,-,-,374,640,0.416,-,-,-,-,20230711-NAPL-001,20230711-NAPL-001-A
7/11/23 13:45,1.68911E+12,307961,7/11/23,13:44:59,FO,5,329,621,0,-,0.47,0,-,0.84,-,-,-,-,-,-,329,621,0.47,-,-,-,-,20230711-NAPL-001,20230711-NAPL-001-A
7/11/23 13:45,1.68911E+12,320875,7/11/23,13:45:12,FO,6,274,464,0,-,0.409,0,-,0.84,-,-,-,-,-,-,274,464,0.409,-,-,-,-,20230711-NAPL-001,20230711-NAPL-001-A
7/11/23 13:45,1.68911E+12,330896,7/11/23,13:45:22,FO,7,435,711,0,-,0.388,0,-,0.84,-,-,-,-,-,-,435,711,0.388,-,-,-,-,20230711-NAPL-001,20230711-NAPL-001-A
7/11/23 13:45,1.68911E+12,343557,7/11/23,13:45:35,FO,8,471,781,0,-,0.397,0,-,0.84,-,-,-,-,-,-,471,781,0.397,-,-,-,-,20230711-NAPL-001,20230711-NAPL-001-A
7/11/23 13:45,1.68911E+12,352806,7/11/23,13:45:44,FO,9,481,734,0,-,0.345,0,-,0.84,-,-,-,-,-,-,481,734,0.345,-,-,-,-,20230711-NAPL-001,20230711-NAPL-001-A
7/11/23 13:45,1.68911E+12,361217,7/11/23,13:45:52,FO,10,416,709,0,-,0.413,0,-,0.84,-,-,-,-,-,-,416,709,0.413,-,-,-,-,20230711-NAPL-001,20230711-NAPL-001-A
7/11/23 13:46,1.68911E+12,369465,7/11/23,13:46:01,FO,11,411,693,0,-,0.407,0,-,0.84,-,-,-,-,-,-,411,693,0.407,-,-,-,-,20230711-NAPL-001,20230711-NAPL-001-A
7/11/23 13:46,1.68911E+12,376383,7/11/23,13:46:08,FO,12,6,6,0,-,-,-,-,0.84,-,-,-,-,-,-,6,6,-,-,-,-,-,NA,NA
7/11/23 13:46,1.68911E+12,380054,7/11/23,13:46:11,FO,13,6,6,0,-,-,-,-,0.84,-,-,-,-,-,-,6,6,-,-,-,-,-,NA,NA
7/11/23 13:46,1.68911E+12,407736,7/11/23,13:46:39,FO,14,258,434,0,-,0.406,0,-,0.84,-,-,-,-,-,-,258,434,0.406,-,-,-,-,20230711-NAPL-001,20230711-NAPL-001-B
7/11/23 13:46,1.68911E+12,415774,7/11/23,13:46:47,FO,15,415,668,0,-,0.379,0,-,0.84,-,-,-,-,-,-,415,668,0.379,-,-,-,-,20230711-NAPL-001,20230711-NAPL-001-B
7/11/23 13:46,1.68911E+12,424271,7/11/23,13:46:55,FO,16,450,749,0,-,0.399,0,-,0.84,-,-,-,-,-,-,450,749,0.399,-,-,-,-,20230711-NAPL-001,20230711-NAPL-001-B
7/11/23 13:47,1.68911E+12,432593,7/11/23,13:47:04,FO,17,490,811,0,-,0.396,0,-,0.84,-,-,-,-,-,-,490,811,0.396,-,-,-,-,20230711-NAPL-001,20230711-NAPL-001-B
7/11/23 13:47,1.68911E+12,442518,7/11/23,13:47:14,FO,18,467,788,0,-,0.407,0,-,0.84,-,-,-,-,-,-,467,788,0.407,-,-,-,-,20230711-NAPL-001,20230711-NAPL-001-B
7/11/23 13:47,1.68911E+12,451417,7/11/23,13:47:23,FO,19,579,938,0,-,0.383,0,-,0.84,-,-,-,-,-,-,579,938,0.383,-,-,-,-,20230711-NAPL-001,20230711-NAPL-001-B
7/11/23 13:47,1.68911E+12,466152,7/11/23,13:47:37,FO,20,344,583,0,-,0.41,0,-,0.84,-,-,-,-,-,-,344,583,0.41,-,-,-,-,20230711-NAPL-001,20230711-NAPL-001-B
7/11/23 13:47,1.68911E+12,478853,7/11/23,13:47:50,FO,21,485,808,0,-,0.4,0,-,0.84,-,-,-,-,-,-,485,808,0.4,-,-,-,-,20230711-NAPL-001,20230711-NAPL-001-B
