Datetime,Time (abs/ms),Time (rel/ms),Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Temp,1:Y (II),1:Fo',1:ETR-F.,1:qP,1:qN,1:qL,1:NPQ,1:Y (NO),1:Y (NPQ),1:Fo,1:Fm,1:Fv/Fm,1:AHum,1:Oxyg.,1:X1,1:X2,specimen_ID,subsample_ID
7/25/23 16:35,1.69E+12,43942,7/25/23,16:35:40,FO,1,9,9,0,-,-,-,0.84,-,-,-,-,-,-,9,9,-,-,-,-,-,NA,NA
7/25/23 16:35,1.69E+12,48405,7/25/23,16:35:45,FO,2,5,5,0,-,-,-,0.84,-,-,-,-,-,-,5,5,-,-,-,-,-,NA,NA
7/25/23 16:38,1.69E+12,187569,7/25/23,16:38:04,FO,3,101,195,0,-,0.482,-,0.84,-,-,-,-,-,-,101,195,0.482,-,-,-,-,20230725-BULL-001,20230725-BULL-001-A
7/25/23 16:38,1.69E+12,194374,7/25/23,16:38:11,FO,4,96,161,0,-,0.404,-,0.84,-,-,-,-,-,-,96,161,0.404,-,-,-,-,20230725-BULL-001,20230725-BULL-001-A
7/25/23 16:38,1.69E+12,203831,7/25/23,16:38:20,FO,5,141,264,0,-,0.466,-,0.84,-,-,-,-,-,-,141,264,0.466,-,-,-,-,20230725-BULL-001,20230725-BULL-001-A
7/25/23 16:38,1.69E+12,213473,7/25/23,16:38:30,FO,6,162,292,0,-,0.445,-,0.84,-,-,-,-,-,-,162,292,0.445,-,-,-,-,20230725-BULL-001,20230725-BULL-001-A
7/25/23 16:38,1.69E+12,221451,7/25/23,16:38:38,FO,7,117,238,0,-,0.508,-,0.84,-,-,-,-,-,-,117,238,0.508,-,-,-,-,20230725-BULL-001,20230725-BULL-001-A
7/25/23 16:38,1.69E+12,229489,7/25/23,16:38:46,FO,8,64,123,0,-,0.48,-,0.84,-,-,-,-,-,-,64,123,0.48,-,-,-,-,20230725-BULL-001,20230725-BULL-001-A
7/25/23 16:38,1.69E+12,239481,7/25/23,16:38:56,FO,9,163,283,0,-,0.424,-,0.84,-,-,-,-,-,-,163,283,0.424,-,-,-,-,20230725-BULL-001,20230725-BULL-001-A
7/25/23 16:39,1.69E+12,246506,7/25/23,16:39:03,FO,10,84,160,0,-,0.475,-,0.84,-,-,-,-,-,-,84,160,0.475,-,-,-,-,20230725-BULL-001,20230725-BULL-001-A
7/25/23 16:39,1.69E+12,254935,7/25/23,16:39:11,FO,11,75,150,0,-,0.5,-,0.84,-,-,-,-,-,-,75,150,0.5,-,-,-,-,20230725-BULL-001,20230725-BULL-001-A
