Datetime,Time (abs/ms),Time (rel/ms),Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Y (II),1:ETR,1:Fo',1:ETR-F.,1:qP,1:qN,1:qL,1:NPQ,1:Y (NO),1:Y (NPQ),1:Fo,1:Fm,1:Fv/Fm,1:AHum,1:Oxyg.,1:X1,1:X2,specimen_ID,subsample_ID
7/31/23 13:17,1.69E+12,51263,7/31/23,13:17:15,FO,1,3,6,0,-,-,-,0.84,-,-,-,-,-,-,3,6,-,-,-,-,-,NA,NA
7/31/23 13:17,1.69E+12,55008,7/31/23,13:17:19,FO,2,4,5,0,-,-,-,0.84,-,-,-,-,-,-,4,5,-,-,-,-,-,NA,NA
7/31/23 13:19,1.69E+12,164880,7/31/23,13:19:09,FO,3,227,705,0,0.678,0,-,0.84,-,-,-,-,-,-,227,705,0.678,-,-,-,-,20230731-CARP-001,20230731-CARP-001-A
7/31/23 13:19,1.69E+12,181707,7/31/23,13:19:26,FO,4,173,592,0,0.708,0,-,0.84,-,-,-,-,-,-,173,592,0.708,-,-,-,-,20230731-CARP-001,20230731-CARP-001-A
7/31/23 13:19,1.69E+12,193018,7/31/23,13:19:37,FO,5,176,593,0,0.703,0,-,0.84,-,-,-,-,-,-,176,593,0.703,-,-,-,-,20230731-CARP-001,20230731-CARP-001-A
7/31/23 13:19,1.69E+12,201559,7/31/23,13:19:46,FO,6,221,820,0,0.73,0,-,0.84,-,-,-,-,-,-,221,820,0.73,-,-,-,-,20230731-CARP-001,20230731-CARP-001-A
7/31/23 13:19,1.69E+12,211152,7/31/23,13:19:55,FO,7,176,637,0,0.724,0,-,0.84,-,-,-,-,-,-,176,637,0.724,-,-,-,-,20230731-CARP-001,20230731-CARP-001-A
7/31/23 13:20,1.69E+12,223660,7/31/23,13:20:08,FO,8,158,567,0,0.721,0,-,0.84,-,-,-,-,-,-,158,567,0.721,-,-,-,-,20230731-CARP-001,20230731-CARP-001-A
7/31/23 13:20,1.69E+12,236856,7/31/23,13:20:21,FO,9,159,631,0,0.748,0,-,0.84,-,-,-,-,-,-,159,631,0.748,-,-,-,-,20230731-CARP-001,20230731-CARP-001-A
7/31/23 13:20,1.69E+12,247189,7/31/23,13:20:31,FO,10,203,761,0,0.733,0,-,0.84,-,-,-,-,-,-,203,761,0.733,-,-,-,-,20230731-CARP-001,20230731-CARP-001-A
