specimen_ID,scan_file_names,bo_01,bo_02,bo_03,bo_04,bo_05,notes
20210621-MOHK-001,img20210621_0001,3,3,3,NA,NA,
20210621-MOHK-002,img20210621_0002,0,NA,NA,NA,NA,
20210621-MOHK-003,img20210625_0057,3,3,NA,NA,NA,
20210621-MOHK-004,"img20210625_0055, img20210625_0056",2,3,4,3,5,"1-3: 0055, 4-5: 0056"
20210621-MOHK-005-A,img20210624_0054,4,3,3,NA,NA,
20210621-MOHK-005-B,img20210624_0053,2,4,4,4,NA,
20210621-MOHK-005-C,"img20210624_0050, img20210624_0051, img20210624_0052",3,4,6,5,5,"1-2: 0050, 3-4: 0051, 5: 0052"
20210621-MOHK-006,img20210624_0049,3,2,2,NA,NA,
20210621-MOHK-007,img20210624_0048,0,NA,NA,NA,NA,
20210621-MOHK-008,img20210624_0047,0,NA,NA,NA,NA,
20210621-MOHK-009,"img20210624_0045, img20210624_0046",0,NA,NA,NA,NA,
20210621-MOHK-010-A,img20210624_0044,0,NA,NA,NA,NA,
20210621-MOHK-010-B,img20210624_0043,0,NA,NA,NA,NA,
20210621-MOHK-011,img20210624_0039,0,NA,NA,NA,NA,
20210621-MOHK-012,"img20210624_0035, img20210624_0036, img20210624_0037, img20210624_0038",0,NA,NA,NA,NA,
20210621-MOHK-013,"img20210624_0032, img20210624_0033, img20210624_0034",0,NA,NA,NA,NA,
20210621-MOHK-014,"img20210624_0029, img20210624_0030, img20210624_0031",0,NA,NA,NA,NA,
20210621-MOHK-015,"img20210624_0027, img20210624_0028",0,NA,NA,NA,NA,
20210621-MOHK-016,"img20210624_0023, img20210624_0024, img20210624_0025",0,NA,NA,NA,NA,
20210621-MOHK-017,"img20210624_0018, img20210624_0021",0,NA,NA,NA,NA,
20210621-MOHK-018,"img20210624_0015, img20210624_0016",0,NA,NA,NA,NA,
20210621-MOHK-019,"img20210624_0013, img20210624_0014",0,NA,NA,NA,NA,
20210621-MOHK-020,"img20210624_0011, img20210624_0012",0,NA,NA,NA,NA,
20210621-MOHK-021,img20210624_0042,1,NA,NA,NA,NA,
20210621-MOHK-022,img20210624_0041,0,NA,NA,NA,NA,
20210621-MOHK-023,img20210624_0040,1,1,NA,NA,NA,
20210623-CAPT-001,"img20210623_0001, img20210623_0002, img20210623_0003, img20210623_0004, img20210623_0005",NA,NA,NA,NA,NA,
20210623-CAPT-002,"img20210623_0006, img20210623_0007",NA,NA,NA,NA,NA,
20210623-CAPT-003,"img20210623_0008, img20210623_0009",NA,NA,NA,NA,NA,
20210623-CAPT-004,img20210628_0001,NA,NA,NA,NA,NA,
20210623-CAPT-005,img20210628_0002,NA,NA,NA,NA,NA,
20210623-CAPT-006,"img20210628_0003, img20210628_0004, img20210628_0005",NA,NA,NA,NA,NA,
20210623-CAPT-007,img20210628_0006,NA,NA,NA,NA,NA,
20210623-CAPT-008,"img20210628_0007, img20210628_0008",NA,NA,NA,NA,NA,
20210623-CAPT-009,img20210628_0009,NA,NA,NA,NA,NA,
20210623-CAPT-010,img20210628_0010,NA,NA,NA,NA,NA,
20210630-MOHK-001,"img20210702_0011, img20210702_0012",0,NA,NA,NA,NA,
20210630-MOHK-002,img20210702_0013,0,NA,NA,NA,NA,
20210630-MOHK-003,img20210702_0014,0,NA,NA,NA,NA,
20210630-MOHK-004,"img20210702_0015, img20210702_0016",0,NA,NA,NA,NA,
20210630-MOHK-005,"img20210702_0017, img20210702_0018, img20210702_0019, img20210702_0020",0,NA,NA,NA,NA,
20210630-MOHK-006,"img20210702_0021, img20210702_0022",0,NA,NA,NA,NA,
20210630-MOHK-007,"img20210702_0023, img20210702_0024, img20210702_0025",0,NA,NA,NA,NA,
20210630-MOHK-008,"img20210702_0026, img20210702_0028",0,NA,NA,NA,NA,
20210630-MOHK-009,img20210702_0029,0,NA,NA,NA,NA,
20210630-MOHK-010,img20210702_0030,0,NA,NA,NA,NA,
20210630-MOHK-011,img20210702_0031,0,NA,NA,NA,NA,
20210630-MOHK-012,"img20210702_0032, img20210702_0033, img20210702_0034, img20210702_0035",0,NA,NA,NA,NA,
20210630-MOHK-013,"img20210702_0036, img20210702_0037, img20210702_0038, img20210702_0039",0,NA,NA,NA,NA,
20210630-MOHK-014,"img20210702_0040, img20210702_0041, img20210702_0042, img20210702_0043, img20210702_0044",0,NA,NA,NA,NA,
20210630-MOHK-015,"img20210702_0045, img20210702_0046, img20210702_0047",0,NA,NA,NA,NA,
20210630-MOHK-016,"img20210702_0048, img20210702_0049, img20210702_0050, img20210702_0051, img20210702_0052, img20210702_0053",0,NA,NA,NA,NA,
20210630-MOHK-017,"img20210702_0054, img20210702_0055, img20210702_0056, img20210702_0057",0,NA,NA,NA,NA,
20210630-MOHK-018,img20210702_0058,0,NA,NA,NA,NA,
20210630-MOHK-019,"img20210702_0059, img20210702_0060, img20210702_0061",0,NA,NA,NA,NA,
20210630-MOHK-020,"img20210702_0062, img20210702_0063",0,NA,NA,NA,NA,
20210630-MOHK-021,img20210702_0064,0,NA,NA,NA,NA,
20210630-MOHK-022,img20210702_0065,4,4,3,4,5,
20210630-MOHK-023,img20210702_0066,2,4,3,NA,NA,
20210630-MOHK-024-A,img20210702_0067,2,2,NA,NA,NA,
20210630-MOHK-024-B,img20210702_0068,4,3,NA,NA,NA,
20210630-MOHK-025,img20210702_0069,5,5,NA,NA,NA,
20210630-MOHK-026,"img20210702_0070, img20210702_0071",3,5,5,5,3,"1-3: 0070, 4-5: 0071"
20210630-MOHK-027,"img20210702_0072, img20210702_0073",4,3,5,4,3,"1-3: 0072, 4-5: 0073"
20210630-MOHK-028,"img20210702_0075, img20210702_0076, img20210702_0077",0,NA,NA,NA,NA,
20210630-MOHK-029,"img20210702_0078, img20210702_0079, img20210702_0080, img20210702_0081",0,NA,NA,NA,NA,
20210630-MOHK-030,img20210702_0082,0,NA,NA,NA,NA,
20210630-MOHK-031,img20210702_0083,0,NA,NA,NA,NA,
20210630-MOHK-032,img20210702_0084,0,NA,NA,NA,NA,
20210630-MOHK-033,img20210702_0085,0,NA,NA,NA,NA,
20210630-MOHK-034,img20210702_0086,0,NA,NA,NA,NA,
20210630-MOHK-035,img20210702_0087,0,NA,NA,NA,NA,
20210630-MOHK-036,"img20210702_0088, img20210702_0089",0,NA,NA,NA,NA,
20210630-MOHK-037,img20210702_0090,0,NA,NA,NA,NA,
20210630-MOHK-038,img20210702_0091,0,NA,NA,NA,NA,
20210630-MOHK-039,img20210702_0092,0,NA,NA,NA,NA,
20210630-MOHK-040,img20210702_0093,0,NA,NA,NA,NA,
20210630-MOHK-041,img20210702_0094,2,2,2,NA,NA,
20210630-MOHK-042,img20210702_0095,2,1,NA,NA,NA,
20210630-MOHK-043,img20210702_0096,3,1,3,NA,NA,
20210630-MOHK-044,img20210702_0097,1,2,NA,NA,NA,
20210630-MOHK-045,img20210702_0098,3,2,NA,NA,NA,
20210630-MOHK-046,"img20210702_0099, img20210702_0100",1,1,1,1,NA,"1-2: 0099, 3-4: 0100"
20210630-MOHK-047,"img20210702_0101, img20210702_0102",0,NA,NA,NA,NA,
20210709-MOHK-001,img20210712_01,0,NA,NA,NA,NA,
20210709-MOHK-002,img20210712_02,0,NA,NA,NA,NA,
20210709-MOHK-003,img20210712_03,0,NA,NA,NA,NA,
20210709-MOHK-004,img20210712_04,0,NA,NA,NA,NA,
20210709-MOHK-005,img20210712_05,0,NA,NA,NA,NA,
20210709-MOHK-006,img20210712_06,0,NA,NA,NA,NA,
20210709-MOHK-007,img20210712_07,0,NA,NA,NA,NA,
20210709-MOHK-008,img20210712_08,0,NA,NA,NA,NA,
20210709-MOHK-009,"img20210712_09, img20210712_10, img20210712_11, img20210712_12, img20210712_12",2,1,1,1,2,"1: 09, 2: 10, 3: 11, 4-5: 12"
20210709-MOHK-010,img20210712_14,1,1,1,1,1,
20210719-IVEE-001,img20210723_01,3,3,2,NA,NA,
20210719-IVEE-002,img20210723_02,2,2,1,NA,NA,
20210719-IVEE-003,img20210723_03,3,2,2,NA,NA,
20210719-IVEE-004,"img20210723_04, img20210723_05",5,2,6,7,4,"1-2: 04, 3-5: 05"
20210719-IVEE-005,img20210723_06,3,4,NA,NA,NA,
20210719-IVEE-006,img20210723_07,2,4,3,NA,NA,
20210719-IVEE-007,img20210723_08,4,3,NA,NA,NA,
20210719-IVEE-008,img20210723_09,4,2,NA,NA,NA,
20210719-IVEE-009,"img20210723_10, img20210723_11",3,2,3,2,NA,1-4: 10
20210719-IVEE-010,img20210723_12,2,2,NA,NA,NA,
20210719-IVEE-011,img20210723_13,0,NA,NA,NA,NA,
20210719-IVEE-012,"img20210723_14, img20210723_15",1,2,2,1,1,"1-3: 14, 4-5: 15"
20210719-IVEE-013,"img20210723_16, img20210723_17, img20210723_18, img20210723_19, img20210723_20, img20210723_21",1,1,1,2,NA,"1: 18, 2: 19, 3: 20, 4: 21"
