specimen_ID,subsample_ID,wet_weight_mg,dmso_sample,dmso_diluent,dmso_ug_mL,milliq_ug_mL,ace_met_mil_sample,ace_met_mil_diluent,ace_met_mil_chlA,dmso_dilution,ace_met_mil_dilution,chlA_mg,total_chlA,notes
20220815-MOHK-001,20220815-MOHK-001-D,5,10,990,10.97,0.01,30,990,22.37,100,34,2954.6,5996.92,
20220815-MOHK-001,20220815-MOHK-001-E,5,10,990,21.87,0,30,990,12.37,100,34,4794.58,6476.9,
20220815-MOHK-001,20220815-MOHK-001-F,6,10,990,12.14,0.01,30,990,17.5,100,34,2923.8533333333335,5403.02,
20220815-MOHK-002,20220815-MOHK-002-A,8,10,990,16.76,0.01,1000,0,109.85,100,1,3420.6762500000004,3901.2700000000004,
20220815-MOHK-003,20220815-MOHK-003-A,9,10,990,20.58,0.02,50,990,11.53,100,20.8,4249.275555555556,5315.16,
20220815-MOHK-003,20220815-MOHK-003-B,9,10,990,23.61,0.02,30,990,10.8,100,34,4926.04,6558.04,
20220815-MOHK-004,20220815-MOHK-004-B,10,10,990,7.07,0.02,1000,0,50.8,100,1,1439.44,1668.04,
20220815-MOHK-004,20220815-MOHK-004-D,8,10,990,7.98,0.02,1000,0,73.17,100,1,1641.77125,1961.8899999999999,
20220815-MOHK-005,20220815-MOHK-005-A,1,10,990,1.83,0.02,50,990,15.97,100,20.8,2026.9200000000003,2026.9200000000003,wet weight too small
20220815-MOHK-005,20220815-MOHK-005-C,7,10,990,10.09,0.05,10,990,14.5,100,100,3053.8142857142857,9268.1,
20220815-MOHK-008,20220815-MOHK-008-A,4,10,990,20.34,0.02,50,990,12.76,100,20.8,4399.8,5395.08,
20220815-MOHK-008,20220815-MOHK-008-C,4,10,990,22.33,0.01,50,990,12.38,100,20.8,4787.9000000000005,5753.540000000001,
20220815-MOHK-011,20220815-MOHK-011-A,20,10,990,6.7,0.02,30,990,13.29,100,34,1453.0049999999999,3599.3399999999997,
20220815-MOHK-011,20220815-MOHK-011-C,12,10,990,6.14,0.03,30,990,19.66,100,34,1506.5766666666666,4570.26,
20220815-MOHK-006,20220815-MOHK-006-A,8,10,990,4.7,0.01,30,990,21.26,100,34,1391.795,4554.22,
20220815-MOHK-006,20220815-MOHK-006-C,8,10,990,4.6,0.01,30,990,21.57,100,34,1378.3824999999997,4586.919999999999,
20220815-MOHK-007,20220815-MOHK-007-A,1,10,990,63.81,0.03,30,990,21.05,100,34,16340.56,16340.56,wet weight too small
20220815-MOHK-007,20220815-MOHK-007-C,1,10,990,44.67,0.02,30,990,16.83,100,34,11795.140000000001,11795.140000000001,wet weight too small
20220815-MOHK-009,20220815-MOHK-009-A,18,10,990,12.27,0.02,1000,0,132.2,100,1,2490.762222222222,3115.04,
20220815-MOHK-009,20220815-MOHK-009-C,12,10,990,23.87,0.02,50,990,15.13,100,20.8,4905.166666666667,6347.56,
20220815-MOHK-010,20220815-MOHK-010-A,10,10,990,12.75,0.1,10,990,22.03,100,100,3651.7,13565.2,
20220815-MOHK-010,20220815-MOHK-010-B,15,10,990,14.67,0.04,10,990,13.71,100,100,3391.08,9789.080000000002,
20220815-MOHK-012,20220815-MOHK-012-A,16,10,990,82.95,0.03,30,990,19.25,100,34,16794.59125,19862.56,
20220815-MOHK-012,20220815-MOHK-012-C,17,10,990,61.47,0.03,30,990,16.58,100,34,12459.859999999999,15112.66,
20220815-MOHK-013,20220815-MOHK-013-A,7,10,990,41.52,0.02,50,990,17.48,100,20.8,8563.742857142857,10121.960000000001,
20220815-MOHK-013,20220815-MOHK-013-B,15,10,990,49.78,0.03,50,990,20.2,100,20.8,10096.113333333333,12056.86,
20220815-MOHK-013,20220815-MOHK-013-D,14,10,990,53.71,0.03,1000,0,129.26,100,1,10788.224285714285,11388.359999999999,
20220815-MOHK-014,20220815-MOHK-014-A,17,10,990,51.13,0.06,1000,0,128,100,1,10263.76705882353,10866.12,
20220815-MOHK-015,20220815-MOHK-015-A,15,10,990,44.94,0.02,10,990,10.24,100,100,9329.373333333335,14108.04,
20220815-MOHK-015,20220815-MOHK-015-C,11,10,990,51.6,0.01,50,990,31.17,100,20.8,10614.718181818182,13561.7,
20220815-MOHK-016,20220815-MOHK-016-A,7,10,990,48.81,0.02,50,990,21.82,100,20.8,10086.222857142859,12031.32,
20220815-MOHK-016,20220815-MOHK-016-B,9,10,990,44.01,0.03,1000,0,30.04,100,1,8818.74888888889,8952.26,
20220815-MOHK-016,20220815-MOHK-016-D,14,10,990,51.05,0.02,50,990,20.46,100,20.8,10362.028571428573,12337.880000000001,
20220815-MOHK-017,20220815-MOHK-017-A,9,10,990,44.27,0.01,50,990,23.14,100,20.8,9121.415555555555,11260.58,
20220815-MOHK-017,20220815-MOHK-017-B,23,10,990,50.86,0.02,1000,0,69.1,100,1,10187.061739130435,10517.54,
20220815-MOHK-017,20220815-MOHK-017-D,15,10,990,48.45,0.03,50,990,26.8,100,20.8,9875.873333333333,12477.26,
20220815-MOHK-018,20220815-MOHK-018-A,18,10,990,39.47,0.07,50,990,32.58,100,20.8,8082.38,11282.46,
