specimen_ID,subsample_ID,length,width,...5
20210621-MOHK-001,20210621-MOHK-001-A,32.8,NA,
20210621-MOHK-002,20210621-MOHK-002-A,36.2,6.4,
20210621-MOHK-003,20210621-MOHK-003-A,13.1,0.1,
20210621-MOHK-004,20210621-MOHK-004-A,15.4,2.8,
20210621-MOHK-005,20210621-MOHK-005-A,13.4,1.1,
20210621-MOHK-005,20210621-MOHK-005-B,14.1,0.9,
20210621-MOHK-005,20210621-MOHK-005-C,21.6,1.2,
20210621-MOHK-006,20210621-MOHK-006-A,11.4,2.3,
20210621-MOHK-007,20210621-MOHK-007-A,21.9,7.4,
20210621-MOHK-008,20210621-MOHK-008-A,16.1,4.6,
20210621-MOHK-009,20210621-MOHK-009-A,27.9,10.8,
20210621-MOHK-010,20210621-MOHK-010-A,23.7,4.8,
20210621-MOHK-010,20210621-MOHK-010-B,22.4,8.9,
20210621-MOHK-011,20210621-MOHK-011-A,NA,NA,
20210621-MOHK-011,20210621-MOHK-011-B,NA,NA,
20210621-MOHK-012,20210621-MOHK-012-A,NA,NA,
20210621-MOHK-012,20210621-MOHK-012-B,NA,NA,
20210621-MOHK-013,20210621-MOHK-013-A,NA,NA,
20210621-MOHK-013,20210621-MOHK-013-B,NA,NA,
20210621-MOHK-014,20210621-MOHK-014-A,NA,NA,
20210621-MOHK-014,20210621-MOHK-014-B,NA,NA,
20210621-MOHK-015,20210621-MOHK-015-A,NA,NA,
20210621-MOHK-015,20210621-MOHK-015-B,NA,NA,
20210621-MOHK-016,20210621-MOHK-016-A,NA,NA,
20210621-MOHK-016,20210621-MOHK-016-B,NA,NA,
20210621-MOHK-017,20210621-MOHK-017-A,NA,NA,
20210621-MOHK-017,20210621-MOHK-017-B,NA,NA,
20210621-MOHK-018,20210621-MOHK-018-A,NA,NA,
20210621-MOHK-018,20210621-MOHK-018-B,NA,NA,
20210621-MOHK-019,20210621-MOHK-019-A,NA,NA,
20210621-MOHK-019,20210621-MOHK-019-B,NA,NA,
20210621-MOHK-020,20210621-MOHK-020-A,NA,NA,
20210621-MOHK-020,20210621-MOHK-020-B,NA,NA,
