specimen_ID,date_collected,year,site,sp_code,lifestage
20210621-MOHK-001,2021-06-21,2021,Mohawk,PTCA,recruit
20210621-MOHK-002,2021-06-21,2021,Mohawk,PTCA,recruit
20210621-MOHK-003,2021-06-21,2021,Mohawk,BO,NA
20210621-MOHK-004,2021-06-21,2021,Mohawk,R,NA
20210621-MOHK-005,2021-06-21,2021,Mohawk,DP,NA
20210621-MOHK-006,2021-06-21,2021,Mohawk,R,NA
20210621-MOHK-007,2021-06-21,2021,Mohawk,CC,NA
20210621-MOHK-008,2021-06-21,2021,Mohawk,CC,NA
20210621-MOHK-009,2021-06-21,2021,Mohawk,CC,NA
20210621-MOHK-010,2021-06-21,2021,Mohawk,CC,NA
20210621-MOHK-011,2021-06-21,2021,Mohawk,PTCA,recruit
20210621-MOHK-012,2021-06-21,2021,Mohawk,PTCA,recruit
20210621-MOHK-013,2021-06-21,2021,Mohawk,PTCA,recruit
20210621-MOHK-014,2021-06-21,2021,Mohawk,PTCA,recruit
20210621-MOHK-015,2021-06-21,2021,Mohawk,PTCA,recruit
20210621-MOHK-016,2021-06-21,2021,Mohawk,PTCA,recruit
20210621-MOHK-017,2021-06-21,2021,Mohawk,PTCA,recruit
20210621-MOHK-018,2021-06-21,2021,Mohawk,PTCA,recruit
20210621-MOHK-019,2021-06-21,2021,Mohawk,PTCA,recruit
20210621-MOHK-020,2021-06-21,2021,Mohawk,PTCA,recruit
20210621-MOHK-021,2021-06-21,2021,Mohawk,GR,NA
20210621-MOHK-022,2021-06-21,2021,Mohawk,UV,NA
20210621-MOHK-023,2021-06-21,2021,Mohawk,PL,NA
20210623-CAPT-001,2021-06-23,2021,Campus Point,NA,NA
20210623-CAPT-002,2021-06-23,2021,Campus Point,NA,NA
20210623-CAPT-003,2021-06-23,2021,Campus Point,NA,NA
20210623-CAPT-004,2021-06-23,2021,Campus Point,NA,NA
20210623-CAPT-005,2021-06-23,2021,Campus Point,NA,NA
