specimen_ID,subsample_ID,date_collected,site,sp_code,needs_check,number_subsamples,notes,type,lifestage,reorg_notes,year
20210621-MOHK-001,20210621-MOHK-001-A,2021-06-21,Mohawk,PTCA,y,1,no FvFm,whole,recruit,NA,2021
20210621-MOHK-002,20210621-MOHK-002-A,2021-06-21,Mohawk,PTCA,y,1,no FvFm,whole,recruit,NA,2021
20210621-MOHK-003,20210621-MOHK-003-A,2021-06-21,Mohawk,BO,y,1,no FvFm,whole,NA,NA,2021
20210621-MOHK-004,20210621-MOHK-004-A,2021-06-21,Mohawk,R,NA,1,no FvFm,whole,NA,NA,2021
20210621-MOHK-005,20210621-MOHK-005-A,2021-06-21,Mohawk,DP,y,3,no FvFm,thallus,NA,NA,2021
20210621-MOHK-005,20210621-MOHK-005-B,2021-06-21,Mohawk,DP,y,3,no FvFm,thallus,NA,NA,2021
20210621-MOHK-005,20210621-MOHK-005-C,2021-06-21,Mohawk,DP,y,3,no FvFm,thallus,NA,NA,2021
20210621-MOHK-006,20210621-MOHK-006-A,2021-06-21,Mohawk,R,NA,1,no FvFm,whole,NA,NA,2021
20210621-MOHK-007,20210621-MOHK-007-A,2021-06-21,Mohawk,CC,NA,1,no FvFm,whole,NA,NA,2021
20210621-MOHK-008,20210621-MOHK-008-A,2021-06-21,Mohawk,CC,y,1,no FvFm,whole,NA,NA,2021
20210621-MOHK-009,20210621-MOHK-009-A,2021-06-21,Mohawk,CC,NA,1,no FvFm,whole,NA,NA,2021
20210621-MOHK-010,20210621-MOHK-010-A,2021-06-21,Mohawk,CC,NA,2,no FvFm,thallus,NA,NA,2021
20210621-MOHK-010,20210621-MOHK-010-B,2021-06-21,Mohawk,CC,NA,2,no FvFm,thallus,NA,NA,2021
20210621-MOHK-011,20210621-MOHK-011-A,2021-06-21,Mohawk,PTCA,NA,2,no FvFm,thallus,recruit,have surface area and thickness for one blade,2021
20210621-MOHK-011,20210621-MOHK-011-B,2021-06-21,Mohawk,PTCA,NA,2,no FvFm,stipe,recruit,remeasure stipe length from scan,2021
20210621-MOHK-012,20210621-MOHK-012-A,2021-06-21,Mohawk,PTCA,NA,2,no FvFm,thallus,recruit,have surface area and thickness for one blade,2021
20210621-MOHK-012,20210621-MOHK-012-B,2021-06-21,Mohawk,PTCA,NA,2,no FvFm,stipe,recruit,remeasure stipe length from scan,2021
20210621-MOHK-013,20210621-MOHK-013-A,2021-06-21,Mohawk,PTCA,NA,2,no FvFm,thallus,recruit,have surface area and thickness for one blade,2021
20210621-MOHK-013,20210621-MOHK-013-B,2021-06-21,Mohawk,PTCA,NA,2,no FvFm,stipe,recruit,remeasure stipe length from scan,2021
20210621-MOHK-014,20210621-MOHK-014-A,2021-06-21,Mohawk,PTCA,NA,2,no FvFm,thallus,recruit,have surface area and thickness for one blade,2021
20210621-MOHK-014,20210621-MOHK-014-B,2021-06-21,Mohawk,PTCA,NA,2,no FvFm,stipe,recruit,remeasure stipe length from scan,2021
20210621-MOHK-015,20210621-MOHK-015-A,2021-06-21,Mohawk,PTCA,NA,2,no FvFm,thallus,recruit,have surface area and thickness for one blade,2021
20210621-MOHK-015,20210621-MOHK-015-B,2021-06-21,Mohawk,PTCA,NA,2,no FvFm,stipe,recruit,remeasure stipe length from scan,2021
20210621-MOHK-016,20210621-MOHK-016-A,2021-06-21,Mohawk,PTCA,NA,2,no FvFm,thallus,recruit,have surface area and thickness for one blade,2021
20210621-MOHK-016,20210621-MOHK-016-B,2021-06-21,Mohawk,PTCA,NA,2,no FvFm,stipe,recruit,remeasure stipe length from scan,2021
20210621-MOHK-017,20210621-MOHK-017-A,2021-06-21,Mohawk,PTCA,NA,2,no FvFm,thallus,recruit,have surface area and thickness for one blade,2021
20210621-MOHK-017,20210621-MOHK-017-B,2021-06-21,Mohawk,PTCA,NA,2,no FvFm,stipe,recruit,remeasure stipe length from scan,2021
20210621-MOHK-018,20210621-MOHK-018-A,2021-06-21,Mohawk,PTCA,NA,2,no FvFm,thallus,recruit,have surface area and thickness for one blade,2021
20210621-MOHK-018,20210621-MOHK-018-B,2021-06-21,Mohawk,PTCA,NA,2,no FvFm,stipe,recruit,remeasure stipe length from scan,2021
20210621-MOHK-019,20210621-MOHK-019-A,2021-06-21,Mohawk,PTCA,NA,2,no FvFm,thallus,recruit,have surface area and thickness for one blade,2021
20210621-MOHK-019,20210621-MOHK-019-B,2021-06-21,Mohawk,PTCA,NA,2,no FvFm,stipe,recruit,remeasure stipe length from scan,2021
20210621-MOHK-020,20210621-MOHK-020-A,2021-06-21,Mohawk,PTCA,NA,2,no FvFm,thallus,recruit,have surface area and thickness for one blade,2021
20210621-MOHK-020,20210621-MOHK-020-B,2021-06-21,Mohawk,PTCA,NA,2,no FvFm,stipe,recruit,remeasure stipe length from scan,2021
20210621-MOHK-021,20210621-MOHK-021-A,2021-06-21,Mohawk,GR,NA,1,no FvFm,whole,NA,NA,2021
20210621-MOHK-022,20210621-MOHK-022-A,2021-06-21,Mohawk,UV,NA,1,no FvFm,whole,NA,NA,2021
20210621-MOHK-023,20210621-MOHK-023-A,2021-06-21,Mohawk,PL,NA,1,no FvFm,whole,NA,NA,2021
20210623-CAPT-001,NA,2021-06-23,Campus Point,NA,NA,NA,NA,NA,NA,NA,2021
20210623-CAPT-002,NA,2021-06-23,Campus Point,NA,NA,NA,NA,NA,NA,NA,2021
20210623-CAPT-003,NA,2021-06-23,Campus Point,NA,NA,NA,NA,NA,NA,NA,2021
20210623-CAPT-004,NA,2021-06-23,Campus Point,NA,NA,NA,NA,NA,NA,NA,2021
20210623-CAPT-005,NA,2021-06-23,Campus Point,NA,NA,NA,NA,NA,NA,NA,2021
20210623-CAPT-006,NA,2021-06-23,Campus Point,NA,NA,NA,NA,NA,NA,NA,2021
20210623-CAPT-007,NA,2021-06-23,Campus Point,NA,NA,NA,NA,NA,NA,NA,2021
20210623-CAPT-008,NA,2021-06-23,Campus Point,NA,NA,NA,NA,NA,NA,NA,2021
20210623-CAPT-009,NA,2021-06-23,Campus Point,NA,NA,NA,NA,NA,NA,NA,2021
20210623-CAPT-010,NA,2021-06-23,Campus Point,NA,NA,NA,NA,NA,NA,NA,2021
20210630-MOHK-001,20210630-MOHK-001-A,2021-06-30,Mohawk,PTCA,NA,3,NA,thallus,recruit,NA,2021
20210630-MOHK-001,20210630-MOHK-001-B,2021-06-30,Mohawk,PTCA,NA,3,NA,stipe,recruit,NA,2021
20210630-MOHK-001,20210630-MOHK-001-C,2021-06-30,Mohawk,PTCA,NA,3,NA,holdfast,recruit,NA,2021
20210630-MOHK-002,20210630-MOHK-002-A,2021-06-30,Mohawk,PTCA,NA,3,NA,thallus,recruit,NA,2021
20210630-MOHK-002,20210630-MOHK-002-B,2021-06-30,Mohawk,PTCA,NA,3,NA,stipe,recruit,NA,2021
20210630-MOHK-002,20210630-MOHK-002-C,2021-06-30,Mohawk,PTCA,NA,3,NA,holdfast,recruit,NA,2021
20210630-MOHK-003,20210630-MOHK-003-A,2021-06-30,Mohawk,PTCA,NA,3,NA,thallus,recruit,NA,2021
20210630-MOHK-003,20210630-MOHK-003-B,2021-06-30,Mohawk,PTCA,NA,3,NA,stipe,recruit,NA,2021
