specimen_ID,subsample_ID,thickness_01,thickness_02,thickness_03,thickness_04,thickness_05,thickness_06,thickness_07,thickness_08,thickness_09,thickness_10,...13
20210621-MOHK-001,20210621-MOHK-001-A,0.32,0.36,0.35,0.32,0.3,0.4,0.39,0.89,0.25,0.29,NA
20210621-MOHK-002,20210621-MOHK-002-A,0.16,0.2,0.16,0.21,0.21,0.2,0.2,0.18,0.26,0.22,NA
20210621-MOHK-003,20210621-MOHK-003-A,0.45,0.64,0.56,0.54,0.47,0.58,0.64,0.65,0.6,0.52,NA
20210621-MOHK-004,20210621-MOHK-004-A,0.23,0.24,0.25,0.27,0.24,0.25,0.24,0.2,0.2,0.23,NA
20210621-MOHK-005,20210621-MOHK-005-A,0.23,0.19,0.15,0.25,0.2,0.2,0.22,0.19,0.18,0.21,NA
20210621-MOHK-005,20210621-MOHK-005-B,0.22,0.25,0.2,0.2,0.26,0.27,0.22,0.17,0.26,0.17,NA
20210621-MOHK-005,20210621-MOHK-005-C,0.19,0.26,0.23,0.29,0.25,0.29,0.21,0.31,0.21,0.22,NA
20210621-MOHK-006,20210621-MOHK-006-A,0.41,0.32,0.36,0.39,0.47,0.4,0.38,0.45,0.33,0.39,NA
20210621-MOHK-007,20210621-MOHK-007-A,0.63,0.54,0.42,0.41,0.46,0.38,0.26,0.53,0.28,0.45,NA
20210621-MOHK-008,20210621-MOHK-008-A,0.37,0.3,0.37,0.43,0.44,0.71,0.6,0.65,0.82,0.53,NA
20210621-MOHK-009,20210621-MOHK-009-A,0.2,0.31,0.43,0.41,0.24,0.33,0.35,0.28,0.61,0.73,NA
20210621-MOHK-010,20210621-MOHK-010-A,0.41,0.45,0.46,0.4,0.44,0.4,0.41,0.39,0.4,0.44,NA
20210621-MOHK-010,20210621-MOHK-010-B,0.92,0.85,0.27,0.46,0.91,1.02,0.75,0.26,0.9,0.73,NA
20210621-MOHK-011,20210621-MOHK-011-A,0.23,0.23,0.25,0.2,0.2,0.24,0.27,0.18,0.2,0.19,NA
20210621-MOHK-011,20210621-MOHK-011-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210621-MOHK-012,20210621-MOHK-012-A,0.27,0.3,0.21,0.23,0.2,0.2,0.26,0.25,0.25,0.23,NA
20210621-MOHK-012,20210621-MOHK-012-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210621-MOHK-013,20210621-MOHK-013-A,0.22,0.2,0.17,0.21,0.2,0.25,0.26,0.23,0.24,0.22,NA
20210621-MOHK-013,20210621-MOHK-013-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210621-MOHK-014,20210621-MOHK-014-A,0.3,0.26,0.25,0.25,0.25,0.27,0.29,0.28,0.25,0.25,NA
20210621-MOHK-014,20210621-MOHK-014-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210621-MOHK-015,20210621-MOHK-015-A,0.23,0.26,0.24,0.24,0.21,0.21,0.19,0.2,0.19,0.19,NA
20210621-MOHK-015,20210621-MOHK-015-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210621-MOHK-016,20210621-MOHK-016-A,0.24,0.24,0.22,0.32,0.25,0.29,0.26,0.23,0.25,0.24,NA
20210621-MOHK-016,20210621-MOHK-016-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210621-MOHK-017,20210621-MOHK-017-A,0.26,0.24,0.26,0.23,0.24,0.22,0.22,0.2,0.24,0.2,NA
20210621-MOHK-017,20210621-MOHK-017-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210621-MOHK-018,20210621-MOHK-018-A,0.3,0.22,0.21,0.22,0.22,0.25,0.27,0.25,0.24,0.31,NA
20210621-MOHK-018,20210621-MOHK-018-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210621-MOHK-019,20210621-MOHK-019-A,0.24,0.18,0.21,0.18,0.2,0.21,0.19,0.18,0.22,0.23,NA
20210621-MOHK-019,20210621-MOHK-019-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210621-MOHK-020,20210621-MOHK-020-A,0.19,0.2,0.22,0.2,0.22,0.21,0.21,0.16,0.18,0.18,NA
20210621-MOHK-020,20210621-MOHK-020-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210621-MOHK-021,20210621-MOHK-021-A,0.84,0.54,0.66,0.39,0.45,0.52,0.52,0.71,0.4,0.42,NA
20210621-MOHK-022,20210621-MOHK-022-A,0.1,0.15,0.09,0.09,0.1,0.07,0.11,0.1,0.1,0.06,NA
20210621-MOHK-023,20210621-MOHK-023-A,0.53,0.46,0.48,0.48,0.46,0.35,0.45,0.39,0.46,0.44,NA
20210623-CAPT-001,,0.16,0.03,0.16,0.18,0.12,0.12,0.19,0.19,0.16,0.19,NA
20210623-CAPT-002,,0.78,0.78,0.77,1.18,1.94,1.24,1.36,1.63,1.75,1.43,NA
20210623-CAPT-003,,0.73,0.65,0.75,0.79,0.8,0.51,0.69,0.49,0.5,0.51,NA
20210623-CAPT-004,,0.52,0.6,0.76,0.63,0.31,0.56,0.43,0.58,0.69,0.3,NA
20210623-CAPT-005,,0.17,0.2,0.33,0.12,0.21,0.22,NA,NA,NA,NA,NA
20210623-CAPT-006,,0.07,0.13,0.1,0.14,0.06,0.13,0.12,0.12,0.07,0.05,NA
20210623-CAPT-007,,0.44,0.43,0.36,0.33,0.36,0.3,0.36,0.28,0.31,0.24,NA
20210623-CAPT-008,,0.42,0.4,0.34,0.43,0.89,0.42,0.64,0.67,0.8,0.74,NA
20210623-CAPT-009,,1.33,0.66,0.64,0.55,0.79,0.44,0.62,0.43,0.38,0.71,NA
20210623-CAPT-010,,0.52,0.43,0.46,0.42,0.34,0.29,0.25,0.33,0.27,0.47,NA
20210630-MOHK-001,20210630-MOHK-001-A,0.23,0.2,0.18,0.22,0.24,0.25,0.22,0.22,0.21,0.23,NA
20210630-MOHK-001,20210630-MOHK-001-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210630-MOHK-001,20210630-MOHK-001-C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210630-MOHK-002,20210630-MOHK-002-A,0.27,0.21,0.2,0.2,0.21,0.2,0.21,0.23,0.23,0.23,NA
20210630-MOHK-002,20210630-MOHK-002-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210630-MOHK-002,20210630-MOHK-002-C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210630-MOHK-003,20210630-MOHK-003-A,0.25,0.25,0.34,0.21,0.24,0.22,0.21,0.2,0.24,0.21,NA
20210630-MOHK-003,20210630-MOHK-003-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210630-MOHK-003,20210630-MOHK-003-C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210630-MOHK-004,20210630-MOHK-004-A,0.27,0.3,0.28,0.3,0.31,0.26,0.3,0.26,0.27,0.28,NA
20210630-MOHK-004,20210630-MOHK-004-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210630-MOHK-004,20210630-MOHK-004-C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210630-MOHK-005,20210630-MOHK-005-A,0.27,0.22,0.22,0.2,0.2,0.23,0.24,0.25,0.25,0.27,NA
20210630-MOHK-005,20210630-MOHK-005-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210630-MOHK-005,20210630-MOHK-005-C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210630-MOHK-006,20210630-MOHK-006-A,0.23,0.26,0.25,0.29,0.26,0.27,0.24,0.25,0.24,0.26,NA
20210630-MOHK-006,20210630-MOHK-006-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210630-MOHK-006,20210630-MOHK-006-C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210630-MOHK-007,20210630-MOHK-007-A,0.24,0.23,0.23,0.23,0.23,0.2,0.25,0.24,0.24,0.27,NA
