specimen_ID,subsample_ID,volume_start_mL,volume_end_mL,volume_total_mL,notes
20210621-MOHK-001,20210621-MOHK-001-A,220,232,12,
20210621-MOHK-002,20210621-MOHK-002-A,222,230,8,
20210621-MOHK-003,20210621-MOHK-003-A,221,227,6,
20210621-MOHK-004,20210621-MOHK-004-A,425,433,8,
20210621-MOHK-005,20210621-MOHK-005-A,221,222,1,
20210621-MOHK-005,20210621-MOHK-005-B,221,223,2,
20210621-MOHK-005,20210621-MOHK-005-C,221,234,13,
20210621-MOHK-006,20210621-MOHK-006-A,221,226,5,
20210621-MOHK-007,20210621-MOHK-007-A,222,228,6,
20210621-MOHK-008,20210621-MOHK-008-A,232,241,9,
20210621-MOHK-009,20210621-MOHK-009-A,427,445,18,
20210621-MOHK-010,20210621-MOHK-010-A,233,241,8,
20210621-MOHK-010,20210621-MOHK-010-B,430,442,12,
20210621-MOHK-011,20210621-MOHK-011-A,398,408,10,whole measurement only
20210621-MOHK-011,20210621-MOHK-011-B,398,408,10,whole measurement only
20210621-MOHK-012,20210621-MOHK-012-A,415,445,30,whole measurement only
20210621-MOHK-012,20210621-MOHK-012-B,415,445,30,whole measurement only
20210621-MOHK-013,20210621-MOHK-013-A,390,415,25,whole measurement only
20210621-MOHK-013,20210621-MOHK-013-B,390,415,25,whole measurement only
20210621-MOHK-014,20210621-MOHK-014-A,380,405,25,whole measurement only
20210621-MOHK-014,20210621-MOHK-014-B,380,405,25,whole measurement only
20210621-MOHK-015,20210621-MOHK-015-A,385,402,17,whole measurement only
20210621-MOHK-015,20210621-MOHK-015-B,385,402,17,whole measurement only
20210621-MOHK-016,20210621-MOHK-016-A,395,425,30,whole measurement only
20210621-MOHK-016,20210621-MOHK-016-B,395,425,30,whole measurement only
20210621-MOHK-017,20210621-MOHK-017-A,405,420,15,whole measurement only
20210621-MOHK-017,20210621-MOHK-017-B,405,420,15,whole measurement only
20210621-MOHK-018,20210621-MOHK-018-A,380,400,20,whole measurement only
20210621-MOHK-018,20210621-MOHK-018-B,380,400,20,whole measurement only
20210621-MOHK-019,20210621-MOHK-019-A,390,405,15,whole measurement only
20210621-MOHK-019,20210621-MOHK-019-B,390,405,15,whole measurement only
20210621-MOHK-020,20210621-MOHK-020-A,400,420,20,whole measurement only
20210621-MOHK-020,20210621-MOHK-020-B,400,420,20,whole measurement only
20210621-MOHK-021,20210621-MOHK-021-A,233,234,1,
20210621-MOHK-022,20210621-MOHK-022-A,239,245,6,
20210621-MOHK-023,20210621-MOHK-023-A,240,241,1,
20210623-CAPT-001,,225,236,11,
20210623-CAPT-002,,218,223,5,
20210623-CAPT-003,,220,228,8,
20210623-CAPT-004,,216,222,6,
20210623-CAPT-005,,222,224,2,
20210623-CAPT-006,,227,237,10,
20210623-CAPT-007,,87,92,5,
20210623-CAPT-008,,76,89,13,
20210623-CAPT-009,,85,91,6,
20210623-CAPT-010,,84,88,4,
20210630-MOHK-001,20210630-MOHK-001-A,218,232,14,
20210630-MOHK-001,20210630-MOHK-001-B,232,233,1,
20210630-MOHK-001,20210630-MOHK-001-C,NA,NA,NA,
20210630-MOHK-002,20210630-MOHK-002-A,212,218,6,
20210630-MOHK-002,20210630-MOHK-002-B,218,219,1,
20210630-MOHK-002,20210630-MOHK-002-C,NA,NA,NA,
20210630-MOHK-003,20210630-MOHK-003-A,210,216,6,
20210630-MOHK-003,20210630-MOHK-003-B,216,218,2,
20210630-MOHK-003,20210630-MOHK-003-C,NA,NA,NA,
20210630-MOHK-004,20210630-MOHK-004-A,207,216,9,
20210630-MOHK-004,20210630-MOHK-004-B,216,218,2,
20210630-MOHK-004,20210630-MOHK-004-C,NA,NA,NA,
20210630-MOHK-005,20210630-MOHK-005-A,108,224,116,
20210630-MOHK-005,20210630-MOHK-005-B,224,228,4,
20210630-MOHK-005,20210630-MOHK-005-C,NA,NA,NA,
20210630-MOHK-006,20210630-MOHK-006-A,214,230,16,
20210630-MOHK-006,20210630-MOHK-006-B,230,234,4,
20210630-MOHK-006,20210630-MOHK-006-C,NA,NA,NA,
20210630-MOHK-007,20210630-MOHK-007-A,208,230,22,
20210630-MOHK-007,20210630-MOHK-007-B,230,233,3,
20210630-MOHK-007,20210630-MOHK-007-C,NA,NA,NA,
20210630-MOHK-008,20210630-MOHK-008-A,212,228,16,
20210630-MOHK-008,20210630-MOHK-008-B,228,232,4,
20210630-MOHK-008,20210630-MOHK-008-C,NA,NA,NA,
20210630-MOHK-009,20210630-MOHK-009-A,208,230,22,
20210630-MOHK-009,20210630-MOHK-009-B,230,233,3,
20210630-MOHK-009,20210630-MOHK-009-C,NA,NA,NA,
20210630-MOHK-010,20210630-MOHK-010-A,204,214,10,
20210630-MOHK-010,20210630-MOHK-010-B,214,215,1,
20210630-MOHK-010,20210630-MOHK-010-C,NA,NA,NA,
20210630-MOHK-011,20210630-MOHK-011-A,201,209,8,
20210630-MOHK-011,20210630-MOHK-011-B,NA,NA,0.5,
20210630-MOHK-011,20210630-MOHK-011-C,NA,NA,NA,
20210630-MOHK-012,20210630-MOHK-012-A,880,950,70,
20210630-MOHK-012,20210630-MOHK-012-B,NA,NA,5,
20210630-MOHK-012,20210630-MOHK-012-C,NA,NA,NA,
20210630-MOHK-013,20210630-MOHK-013-A,880,930,50,
20210630-MOHK-013,20210630-MOHK-013-B,NA,NA,2,
20210630-MOHK-013,20210630-MOHK-013-C,NA,NA,NA,
20210630-MOHK-014,20210630-MOHK-014-A,800,875,75,
20210630-MOHK-014,20210630-MOHK-014-B,NA,NA,4,
20210630-MOHK-014,20210630-MOHK-014-C,NA,NA,NA,
20210630-MOHK-015,20210630-MOHK-015-A,840,885,45,
20210630-MOHK-015,20210630-MOHK-015-B,NA,NA,2,
20210630-MOHK-015,20210630-MOHK-015-C,NA,NA,NA,
20210630-MOHK-016,20210630-MOHK-016-A,850,950,100,
20210630-MOHK-016,20210630-MOHK-016-B,NA,NA,1,
20210630-MOHK-016,20210630-MOHK-016-C,NA,NA,NA,
20210630-MOHK-017,20210630-MOHK-017-A,870,950,80,
20210630-MOHK-017,20210630-MOHK-017-B,NA,NA,1,
20210630-MOHK-017,20210630-MOHK-017-C,NA,NA,NA,
20210630-MOHK-018,20210630-MOHK-018-A,194,218,24,
20210630-MOHK-018,20210630-MOHK-018-B,218,219,1,
20210630-MOHK-019,20210630-MOHK-019-A,490,570,80,
20210630-MOHK-019,20210630-MOHK-019-B,NA,NA,1,
20210630-MOHK-020,20210630-MOHK-020-A,770,810,40,
20210630-MOHK-020,20210630-MOHK-020-B,NA,NA,1,
20210630-MOHK-021,20210630-MOHK-021-A,208,234,26,
20210630-MOHK-021,20210630-MOHK-021-B,NA,NA,0.5,
20210630-MOHK-022,20210630-MOHK-022-A,204,208,4,
20210630-MOHK-023,20210630-MOHK-023-A,195,198,3,
20210630-MOHK-024,20210630-MOHK-024-A,194,197,3,
20210630-MOHK-024,20210630-MOHK-024-B,194,195,1,
20210630-MOHK-025,20210630-MOHK-025-A,79,80,1,
20210630-MOHK-026,20210630-MOHK-026-A,78,84,6,
20210630-MOHK-027,20210630-MOHK-027-A,200,206,6,
20210630-MOHK-028,20210630-MOHK-028-A,203,215,12,
20210630-MOHK-028,20210630-MOHK-028-B,215,219,4,
