specimen_ID,subsample_ID,weight_wet_mg,weight_wet_g,drying_oven_in,drying_oven_out,weight_dry_mg,weight_dry_g,notes
20210621-MOHK-001,20210621-MOHK-001-A,10297,10.297,20210625,20210628,605,0.605,large parts stuck to bag
20210621-MOHK-002,20210621-MOHK-002-A,8389,8.389,20210625,20210628,323,0.323,
20210621-MOHK-003,20210621-MOHK-003-A,5823,5.823,20210625,20210628,2793,2.793,
20210621-MOHK-004,20210621-MOHK-004-A,5730,5.73,20210625,20210628,1078,1.078,
20210621-MOHK-005,20210621-MOHK-005-A,831,0.831,20210625,20210628,89,0.089,
20210621-MOHK-005,20210621-MOHK-005-B,1271,1.271,20210625,20210628,163,0.163,large parts stuck to bag
20210621-MOHK-005,20210621-MOHK-005-C,10514,10.514,20210625,20210628,1200,1.2,
20210621-MOHK-006,20210621-MOHK-006-A,4129,4.129,20210625,20210628,425,0.425,
20210621-MOHK-007,20210621-MOHK-007-A,5964,5.964,20210625,20210628,1001,1.001,
20210621-MOHK-008,20210621-MOHK-008-A,9765,9.765,20210625,20210628,1576,1.576,
20210621-MOHK-009,20210621-MOHK-009-A,23400,23.4,20210625,20210628,3353,3.353,
20210621-MOHK-010,20210621-MOHK-010-A,9220,9.22,20210625,20210628,1285,1.285,
20210621-MOHK-010,20210621-MOHK-010-B,11691,11.691,20210625,20210628,1899,1.899,
20210621-MOHK-011,20210621-MOHK-011-A,11675,11.675,20210625,20210628,1164,1.164,whole measurement only
20210621-MOHK-011,20210621-MOHK-011-B,11675,11.675,20210625,20210628,1164,1.164,whole measurement only
20210621-MOHK-012,20210621-MOHK-012-A,34830,34.83,20210625,20210628,4140,4.14,whole measurement only
20210621-MOHK-012,20210621-MOHK-012-B,34830,34.83,20210625,20210628,4140,4.14,whole measurement only
20210621-MOHK-013,20210621-MOHK-013-A,25240,25.24,20210625,20210628,2974,2.974,whole measurement only
20210621-MOHK-013,20210621-MOHK-013-B,25240,25.24,20210625,20210628,2974,2.974,whole measurement only
20210621-MOHK-014,20210621-MOHK-014-A,32960,32.96,20210625,20210628,3737,3.737,whole measurement only
20210621-MOHK-014,20210621-MOHK-014-B,32960,32.96,20210625,20210628,3737,3.737,whole measurement only
20210621-MOHK-015,20210621-MOHK-015-A,23390,23.39,20210625,20210628,2743,2.743,whole measurement only
20210621-MOHK-015,20210621-MOHK-015-B,23390,23.39,20210625,20210628,2743,2.743,whole measurement only
20210621-MOHK-016,20210621-MOHK-016-A,36140,36.14,20210625,20210628,4183,4.183,whole measurement only
20210621-MOHK-016,20210621-MOHK-016-B,36140,36.14,20210625,20210628,4183,4.183,whole measurement only
20210621-MOHK-017,20210621-MOHK-017-A,17120,17.12,20210625,20210628,1906,1.906,whole measurement only
20210621-MOHK-017,20210621-MOHK-017-B,17120,17.12,20210625,20210628,1906,1.906,whole measurement only
20210621-MOHK-018,20210621-MOHK-018-A,20290,20.29,20210625,20210628,2561,2.561,whole measurement only
20210621-MOHK-018,20210621-MOHK-018-B,20290,20.29,20210625,20210628,2561,2.561,whole measurement only
20210621-MOHK-019,20210621-MOHK-019-A,22090,22.09,20210625,20210628,2166,2.166,whole measurement only
20210621-MOHK-019,20210621-MOHK-019-B,22090,22.09,20210625,20210628,2166,2.166,whole measurement only
20210621-MOHK-020,20210621-MOHK-020-A,23470,23.47,20210625,20210628,2511,2.511,whole measurement only
20210621-MOHK-020,20210621-MOHK-020-B,23470,23.47,20210625,20210628,2511,2.511,whole measurement only
20210621-MOHK-021,20210621-MOHK-021-A,3600,3.6,20210625,20210628,194,0.194,
20210621-MOHK-022,20210621-MOHK-022-A,3280,3.28,20210625,20210628,266,0.266,
20210621-MOHK-023,20210621-MOHK-023-A,1091,1.091,20210625,20210628,223,0.223,
20210623-CAPT-001,,7038,7.038,20210628,NA,NA,NA,
20210623-CAPT-002,,12043,12.043,20210628,NA,NA,NA,
20210623-CAPT-003,,8860,8.86,20210628,NA,NA,NA,
20210623-CAPT-004,,2973,2.973,20210628,NA,NA,NA,
20210623-CAPT-005,,664,0.664,20210628,NA,NA,NA,
20210623-CAPT-006,,3626,3.626,20210628,NA,NA,NA,
20210623-CAPT-007,,4621,4.621,20210628,NA,NA,NA,
20210623-CAPT-008,,4496,4.496,20210628,NA,NA,NA,
20210623-CAPT-009,,5750,5.75,20210628,NA,NA,NA,
20210623-CAPT-010,,4546,4.546,20210628,NA,NA,NA,
20210630-MOHK-001,20210630-MOHK-001-A,13363,13.363,20210702,20210706,1111,1.111,
20210630-MOHK-001,20210630-MOHK-001-B,3096,3.096,20210702,20210706,346,0.346,stipe mass includes holdfast
20210630-MOHK-001,20210630-MOHK-001-C,NA,NA,NA,NA,NA,NA,
20210630-MOHK-002,20210630-MOHK-002-A,5639,5.639,20210702,20210706,370,0.37,
20210630-MOHK-002,20210630-MOHK-002-B,749,0.749,20210702,20210706,106,0.106,stipe mass includes holdfast
20210630-MOHK-002,20210630-MOHK-002-C,NA,NA,NA,NA,NA,NA,
20210630-MOHK-003,20210630-MOHK-003-A,5117,5.117,20210702,20210706,382,0.382,
20210630-MOHK-003,20210630-MOHK-003-B,2745,2.745,20210702,20210706,328,0.328,stipe mass includes holdfast
20210630-MOHK-003,20210630-MOHK-003-C,NA,NA,NA,NA,NA,NA,
20210630-MOHK-004,20210630-MOHK-004-A,20287,20.287,20210702,20210706,1809,1.809,
20210630-MOHK-004,20210630-MOHK-004-B,2038,2.038,20210702,20210706,379,0.379,stipe mass includes holdfast
20210630-MOHK-004,20210630-MOHK-004-C,NA,NA,NA,NA,NA,NA,
20210630-MOHK-005,20210630-MOHK-005-A,31710,31.71,20210702,20210706,2964,2.964,
20210630-MOHK-005,20210630-MOHK-005-B,4090,4.09,20210702,20210706,759,0.759,stipe mass includes holdfast
20210630-MOHK-005,20210630-MOHK-005-C,NA,NA,NA,NA,NA,NA,
20210630-MOHK-006,20210630-MOHK-006-A,16722,16.722,20210702,20210706,1481,1.481,
20210630-MOHK-006,20210630-MOHK-006-B,4829,4.829,20210702,20210706,881,0.881,stipe mass includes holdfast
20210630-MOHK-006,20210630-MOHK-006-C,NA,NA,NA,NA,NA,NA,
20210630-MOHK-007,20210630-MOHK-007-A,22836,22.836,20210702,20210706,1781,1.781,
20210630-MOHK-007,20210630-MOHK-007-B,3738,3.738,20210702,20210706,661,0.661,stipe mass includes holdfast
20210630-MOHK-007,20210630-MOHK-007-C,NA,NA,NA,NA,NA,NA,
20210630-MOHK-008,20210630-MOHK-008-A,16014,16.014,20210702,20210706,1716,1.716,
20210630-MOHK-008,20210630-MOHK-008-B,3288,3.288,20210702,20210706,599,0.599,stipe mass includes holdfast
20210630-MOHK-008,20210630-MOHK-008-C,NA,NA,NA,NA,NA,NA,
20210630-MOHK-009,20210630-MOHK-009-A,8414,8.414,20210702,20210706,792,0.792,
20210630-MOHK-009,20210630-MOHK-009-B,1846,1.846,20210702,20210706,397,0.397,stipe mass includes holdfast
20210630-MOHK-009,20210630-MOHK-009-C,NA,NA,NA,NA,NA,NA,
20210630-MOHK-010,20210630-MOHK-010-A,7158,7.158,20210702,20210706,672,0.672,
20210630-MOHK-010,20210630-MOHK-010-B,1628,1.628,20210702,20210706,259,0.259,stipe mass includes holdfast
20210630-MOHK-010,20210630-MOHK-010-C,NA,NA,NA,NA,NA,NA,
20210630-MOHK-011,20210630-MOHK-011-A,2717,2.717,20210702,20210706,168,0.168,
20210630-MOHK-011,20210630-MOHK-011-B,160,0.16,20210702,20210706,22,0.022,stipe mass includes holdfast
20210630-MOHK-011,20210630-MOHK-011-C,NA,NA,NA,NA,NA,NA,
20210630-MOHK-012,20210630-MOHK-012-A,52700,52.7,20210702,20210706,4867,4.867,
20210630-MOHK-012,20210630-MOHK-012-B,4947,4.947,20210702,20210706,1131,1.131,stipe mass includes holdfast
20210630-MOHK-012,20210630-MOHK-012-C,NA,NA,NA,NA,NA,NA,
20210630-MOHK-013,20210630-MOHK-013-A,56140,56.14,20210702,20210706,4850,4.85,
20210630-MOHK-013,20210630-MOHK-013-B,1558,1.558,20210702,20210706,425,0.425,stipe mass includes holdfast
20210630-MOHK-013,20210630-MOHK-013-C,NA,NA,NA,NA,NA,NA,
20210630-MOHK-014,20210630-MOHK-014-A,80240,80.24,20210702,20210706,6026,6.026,
20210630-MOHK-014,20210630-MOHK-014-B,3664,3.664,20210702,20210706,874,0.874,stipe mass includes holdfast
20210630-MOHK-014,20210630-MOHK-014-C,NA,NA,NA,NA,NA,NA,
20210630-MOHK-015,20210630-MOHK-015-A,42960,42.96,20210702,20210706,3259,3.259,
20210630-MOHK-015,20210630-MOHK-015-B,2867,2.867,20210702,20210706,693,0.693,stipe mass includes holdfast
20210630-MOHK-015,20210630-MOHK-015-C,NA,NA,NA,NA,NA,NA,
20210630-MOHK-016,20210630-MOHK-016-A,91470,91.47,20210702,20210706,7407,7.407,
20210630-MOHK-016,20210630-MOHK-016-B,1540,1.54,20210702,20210706,327,0.327,stipe mass includes holdfast
