specimen_ID,scientific_name,sp_code,maximum_height,total_dry,total_wet,total_dmc,total_volume,mass_to_height,thickness_mm_mean,sav_scaled,frond_area_scaled,sta_scaled,sap_mean,frond_peri_scaled
20210621-MOHK-003,Bossiella orbigniana,BO,13.1,2793,5823,0.4796496651210716,6,213.206106870229,0.5650000000000001,6981.456000000002,40653018.288,6981.456,1.4874020101305467,27331560.675
20210621-MOHK-004,Rhodymenia californica,R,15.4,1078,5730,0.1881326352530541,8,70,0.23500000000000001,21271.465,121885494.45,21271.465,3.978360146481848,30637119.305999998
20210621-MOHK-005,Dictyota binghamiae; Dictyota flabellata; Dictyota coriacea,DP,21.6,1452,12616,0.11509194673430564,16,67.22222222222221,0.22333333333333333,39990.54851282051,163132512.68,41460.512309362144,2.912438422436692,52324671.60106667
20210621-MOHK-006,Rhodymenia californica,R,11.4,425,4129,0.10293049164446597,5,37.280701754385966,0.39,8101.889,33452699.681,8101.889,4.179124086506887,8004715.5788
20210621-MOHK-007,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,21.9,1001,5964,0.16784037558685447,6,45.70776255707763,0.436,11431.26,68176034.64,11431.26,20.55283365906194,3317111.196
20210621-MOHK-008,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,16.1,1576,9765,0.16139272913466463,9,97.88819875776397,0.522,14437.386,140981074.29,14437.386,7.797150327653021,18081102.501
20210621-MOHK-009,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,27.9,3353,23400,0.1432905982905983,18,120.17921146953405,0.389,33774.862,790331770.8000001,33774.862,11.988574548934919,65923748.279999994
20210621-MOHK-010,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,23.7,3184,20911,0.15226435847161782,20,134.34599156118145,0.5635,27613.725,271030408.9955,27511.2213644224,10.728305522210484,27075324.414600004
20210621-MOHK-021,Gelidium spp.,GR,19.5,194,3600,0.05388888888888889,1,9.948717948717949,0.545,2391.442,8609191.2,2391.442,0.5315023044178547,16197843.6
20210630-MOHK-012,Laminaria farlowii,LAFA,99.4,5998,57647,0.10404704494596423,75,60.34205231388329,0.5609999999999999,82488.90000000001,4438221777.08,94880.59599753442,29.85853681238559,148641636.56
20210630-MOHK-013,Laminaria farlowii,LAFA,39.4,5275,57698,0.09142431280113696,52,133.88324873096448,0.545,84692.8576,4698662017.12,88571.53525773196,33.7183306736152,139350374.8036
20210630-MOHK-014,Laminaria farlowii,LAFA,103.5,6900,83904,0.08223684210526316,79,66.66666666666667,0.546,99522.44936,7927529991.552,108187.02824427481,27.86410265423923,284506918.8096
20210630-MOHK-015,Laminaria farlowii,LAFA,61.3,3952,45827,0.08623737098217209,47,64.46982055464927,0.575,57517.704911111105,2523699443.2609997,66780.36365019945,40.75588538767279,61922331.443799995
20210630-MOHK-016,Laminaria farlowii,LAFA,122.4,7734,93010,0.08315234920976239,101,63.186274509803916,0.542,131115.36998000002,12074297585.98,135548.29341595786,44.903056835864895,268897006.948
20210630-MOHK-017,Laminaria farlowii,LAFA,110.1,7750,79950,0.0969355847404628,81,70.3905540417802,0.5589999999999999,100976.93685,7973438124.6,116017.69543680578,43.75491182796077,182229555.29999998
