specimen_ID,scientific_name,sp_code,maximum_height,thickness_mm_mean,height_ww,total_dmc,height_vol
20210621-MOHK-003,Bossiella orbigniana,BO,13.1,0.5650000000000001,0.00224969946762837,0.4796496651210716,2.183333333333333
20210621-MOHK-004,Rhodymenia californica,R,15.4,0.23500000000000001,0.0026876090750436303,0.1881326352530541,1.925
20210621-MOHK-005,Dictyota binghamiae; Dictyota flabellata; Dictyota coriacea,DP,21.6,0.22333333333333333,0.0017121116043119849,0.11509194673430564,1.35
20210621-MOHK-006,Rhodymenia californica,R,11.4,0.39,0.0027609590699927346,0.10293049164446597,2.2800000000000002
20210621-MOHK-007,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,21.9,0.436,0.0036720321931589537,0.16784037558685447,3.65
20210621-MOHK-008,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,16.1,0.522,0.0016487455197132619,0.16139272913466463,1.788888888888889
20210621-MOHK-009,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,27.9,0.389,0.0011923076923076922,0.1432905982905983,1.5499999999999998
20210621-MOHK-010,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,23.7,0.5635,0.0011333747788245421,0.15226435847161782,1.185
20210630-MOHK-012,Laminaria farlowii,LAFA,99.4,0.5609999999999999,0.0017242874737627284,0.10404704494596423,1.3253333333333335
20210630-MOHK-013,Laminaria farlowii,LAFA,39.4,0.545,6.828659572255538e-4,0.09142431280113696,0.7576923076923077
20210630-MOHK-014,Laminaria farlowii,LAFA,103.5,0.546,0.0012335526315789473,0.08223684210526316,1.3101265822784811
20210630-MOHK-015,Laminaria farlowii,LAFA,61.3,0.575,0.0013376393828965457,0.08623737098217209,1.304255319148936
20210630-MOHK-016,Laminaria farlowii,LAFA,122.4,0.542,0.0013159875282227717,0.08315234920976239,1.2118811881188118
20210630-MOHK-017,Laminaria farlowii,LAFA,110.1,0.5589999999999999,0.0013771106941838649,0.0969355847404628,1.3592592592592592
