specimen_ID,scientific_name,sp_code,date_collected,year,site,maximum_height,thickness_mm_mean,frond_area_scaled,height_ww,total_dmc,height_vol,sav_scaled,sta_scaled,sap_mean
20210621-MOHK-003,Bossiella orbigniana,BO,2021-06-21,2021,Mohawk,13.1,0.5650000000000001,40653018.288,0.00224969946762837,0.4796496651210716,2.183333333333333,6981.456000000002,6981.456,1.4874020101305467
20210621-MOHK-004,Rhodymenia californica,R,2021-06-21,2021,Mohawk,15.4,0.23500000000000001,121885494.45,0.0026876090750436303,0.1881326352530541,1.925,21271.465,21271.465,3.978360146481848
20210621-MOHK-005,Dictyota binghamiae; Dictyota flabellata; Dictyota coriacea,DP,2021-06-21,2021,Mohawk,21.6,0.22333333333333333,163132512.68,0.0017121116043119849,0.11509194673430564,1.35,39990.54851282051,41460.512309362144,2.912438422436692
20210621-MOHK-006,Rhodymenia californica,R,2021-06-21,2021,Mohawk,11.4,0.39,33452699.681,0.0027609590699927346,0.10293049164446597,2.2800000000000002,8101.889,8101.889,4.179124086506887
20210621-MOHK-007,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,2021-06-21,2021,Mohawk,21.9,0.436,68176034.64,0.0036720321931589537,0.16784037558685447,3.65,11431.26,11431.26,20.55283365906194
20210621-MOHK-008,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,2021-06-21,2021,Mohawk,16.1,0.522,140981074.29,0.0016487455197132619,0.16139272913466463,1.788888888888889,14437.386,14437.386,7.797150327653021
20210621-MOHK-009,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,2021-06-21,2021,Mohawk,27.9,0.389,790331770.8000001,0.0011923076923076922,0.1432905982905983,1.5499999999999998,33774.862,33774.862,11.988574548934919
20210621-MOHK-010,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,2021-06-21,2021,Mohawk,23.7,0.5635,271030408.9955,0.0011333747788245421,0.15226435847161782,1.185,27613.725,27511.2213644224,10.728305522210484
20210630-MOHK-012,Laminaria farlowii,LAFA,2021-06-30,2021,Mohawk,99.4,0.5609999999999999,4438221777.08,0.0017242874737627284,0.10404704494596423,1.3253333333333335,82488.90000000001,94880.59599753442,29.85853681238559
20210630-MOHK-013,Laminaria farlowii,LAFA,2021-06-30,2021,Mohawk,39.4,0.545,4698662017.12,6.828659572255538e-4,0.09142431280113696,0.7576923076923077,84692.8576,88571.53525773196,33.7183306736152
20210630-MOHK-014,Laminaria farlowii,LAFA,2021-06-30,2021,Mohawk,103.5,0.546,7927529991.552,0.0012335526315789473,0.08223684210526316,1.3101265822784811,99522.44936,108187.02824427481,27.86410265423923
20210630-MOHK-015,Laminaria farlowii,LAFA,2021-06-30,2021,Mohawk,61.3,0.575,2523699443.2609997,0.0013376393828965457,0.08623737098217209,1.304255319148936,57517.704911111105,66780.36365019945,40.75588538767279
20210630-MOHK-016,Laminaria farlowii,LAFA,2021-06-30,2021,Mohawk,122.4,0.542,12074297585.98,0.0013159875282227717,0.08315234920976239,1.2118811881188118,131115.36998000002,135548.29341595786,44.903056835864895
20210630-MOHK-017,Laminaria farlowii,LAFA,2021-06-30,2021,Mohawk,110.1,0.5589999999999999,7973438124.6,0.0013771106941838649,0.0969355847404628,1.3592592592592592,100976.93685,116017.69543680578,43.75491182796077
20210630-MOHK-018,Laminaria farlowii,LAFA,2021-06-30,2021,Mohawk,56.3,0.636,604406018.4679999,0.002693908799464089,0.10368917173070481,2.252,30125.34583333333,33424.19170346666,21.480334578366374
