specimen_ID,sp_code,scientific_name,growth_form,pigment_type,life_habit,longevity,posture,branching_yn,lifestage,maximum_height,thickness_mm_mean,thickness_mm_se,sta_mean,sta_se,frond_dmc_mean,frond_dmc_se,sav_mean,sav_se,sap_mean,sap_se,aspect_ratio_mean,aspect_ratio_se,frond_length_mean,frond_length_se,frond_width_mean,frond_width_se,frond_area_mean,frond_area_se,frond_peri_mean,frond_peri_se,frond_ww_mean,frond_ww_se,frond_dw_mean,frond_dw_se,frond_volume_mean,frond_volume_se,fvfm_mean,fvfm_se,total_wet,total_dry,total_dmc,total_volume,chlA_mean,chlA_se,delta_15_n_mean,delta_15_n_se,delta_13_c_mean,delta_13_c_se,weight_percent_n_mean,weight_percent_n_se,weight_percent_c_mean,weight_percent_c_se,mass_to_height,date_collected,site,year,sav_scaled,frond_area_scaled,sta_scaled,frond_peri_scaled,frond_length_scaled,frond_width_scaled
20210621-MOHK-003,BO,Bossiella orbigniana,articulated_calcareous,red,saxicolous,perennial,"erect, prostrate",yes,NA,13.1,0.5650000000000001,0.02232338086700429,2.4996262083780882,NA,0.4796496651210716,NA,1163.5760000000002,NA,1.4874020101305467,NA,131,NA,13.1,NA,0.1,NA,6981.456000000001,NA,4693.725,NA,5823,NA,2793,NA,6,NA,NA,NA,5823,2793,0.4796496651210716,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213.206106870229,2021-06-21,Mohawk,2021,6981.456000000002,40653018.288,6981.456,27331560.675,76281.3,582.3000000000001
20210621-MOHK-004,R,Rhodymenia californica,corticated_macrophytes,red,saxicolous or epiphytic,perennial,erect,yes,NA,15.4,0.23500000000000001,0.006871842709362767,19.732342300556585,NA,0.1881326352530541,NA,2658.933125,NA,3.978360146481848,NA,5.500000000000001,NA,15.4,NA,2.8,NA,21271.465,NA,5346.7922,NA,5730,NA,1078,NA,8,NA,NA,NA,5730,1078,0.1881326352530541,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,2021-06-21,Mohawk,2021,21271.465,121885494.45,21271.465,30637119.305999998,88242,16043.999999999998
20210621-MOHK-005,DP,Dictyota binghamiae; Dictyota flabellata; Dictyota coriacea,corticated_foliose,brown,saxicolous,annual,erect,yes,NA,21.6,0.22333333333333333,0.007100806710416593,28.554071838403683,1.4552749718845708,0.11649296396786715,0.00621716000426759,2499.409282051282,141.82971204854022,2.912438422436692,0.27514951449347835,15.282828282828284,1.690493896867237,16.366666666666667,2.624457615923294,1.0666666666666667,0.08819171036881968,12930.605,9251.17587665786,4147.485066666667,2743.1149650611956,4205.333333333333,3156.8896260577617,484,358.63677074908725,5.333333333333333,3.8441875315569325,NA,NA,12616,1452,0.11509194673430564,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.22222222222221,2021-06-21,Mohawk,2021,39990.54851282051,163132512.68,41460.512309362144,52324671.60106667,206481.86666666667,13457.066666666666
20210621-MOHK-006,R,Rhodymenia californica,corticated_macrophytes,red,saxicolous or epiphytic,perennial,erect,yes,NA,11.4,0.39,0.014907119849998592,19.063268235294117,NA,0.10293049164446597,NA,1620.3778,NA,4.179124086506887,NA,4.9565217391304355,NA,11.4,NA,2.3,NA,8101.889,NA,1938.6572,NA,4129,NA,425,NA,5,NA,NA,NA,4129,425,0.10293049164446597,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.280701754385966,2021-06-21,Mohawk,2021,8101.889,33452699.681,8101.889,8004715.5788,47070.6,9496.699999999999
20210621-MOHK-007,CC,Chondracanthus corymbiferus; Chondracanthus exasperatus,leathery_macrophyte,red,saxicolous,perennial,erect,NA,NA,21.9,0.436,0.03612324582438418,11.41984015984016,NA,0.16784037558685447,NA,1905.21,NA,20.55283365906194,NA,2.959459459459459,NA,21.9,NA,7.4,NA,11431.26,NA,556.189,NA,5964,NA,1001,NA,6,NA,NA,NA,5964,1001,0.16784037558685447,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.70776255707763,2021-06-21,Mohawk,2021,11431.26,68176034.64,11431.26,3317111.196,130611.59999999999,44133.6
20210621-MOHK-008,CC,Chondracanthus corymbiferus; Chondracanthus exasperatus,leathery_macrophyte,red,saxicolous,perennial,erect,NA,NA,16.1,0.522,0.05347481234708127,9.160777918781726,NA,0.16139272913466463,NA,1604.154,NA,7.797150327653021,NA,3.5000000000000004,NA,16.1,NA,4.6,NA,14437.386,NA,1851.6234,NA,9765,NA,1576,NA,9,NA,NA,NA,9765,1576,0.16139272913466463,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.88819875776397,2021-06-21,Mohawk,2021,14437.386,140981074.29,14437.386,18081102.501,157216.5,44919
20210621-MOHK-009,CC,Chondracanthus corymbiferus; Chondracanthus exasperatus,leathery_macrophyte,red,saxicolous,perennial,erect,NA,NA,27.9,0.389,0.052524068556974696,10.073027736355503,NA,0.1432905982905983,NA,1876.3812222222223,NA,11.988574548934919,NA,2.583333333333333,NA,27.9,NA,10.8,NA,33774.862,NA,2817.2542,NA,23400,NA,3353,NA,18,NA,NA,NA,23400,3353,0.1432905982905983,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.17921146953405,2021-06-21,Mohawk,2021,33774.862,790331770.8000001,33774.862,65923748.279999994,652860,252720.00000000003
20210621-MOHK-010,CC,Chondracanthus corymbiferus; Chondracanthus exasperatus,leathery_macrophyte,red,saxicolous,perennial,erect,NA,NA,23.7,0.5635,0.054140533506985805,8.640458971238191,2.587850756388269,0.15090178662378367,0.011530853868902999,1380.68625,422.86100000000005,10.728305522210484,3.3993816103965337,3.727176966292135,1.2103230337078652,23.049999999999997,0.6500000000000004,6.85,2.0500000000000003,12961.140500000001,1467.2375,1294.7886,273.50479999999993,10455.5,1235.4999999999998,1592,306.99999999999994,10,2,NA,NA,20911,3184,0.15226435847161782,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.34599156118145,2021-06-21,Mohawk,2021,27613.725,271030408.9955,27511.2213644224,27075324.414600004,481998.54999999993,143240.35
20210621-MOHK-021,GR,Gelidium spp.,corticated_macrophytes,red,saxicolous,perennial,erect,yes,NA,19.5,0.545,0.04695742752749558,12.327020618556702,NA,0.05388888888888889,NA,2391.442,NA,0.5315023044178547,NA,195,NA,19.5,NA,0.1,NA,2391.442,NA,4499.401,NA,3600,NA,194,NA,1,NA,NA,NA,3600,194,0.05388888888888889,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.948717948717949,2021-06-21,Mohawk,2021,2391.442,8609191.2,2391.442,16197843.6,70200,360
20210630-MOHK-012,LAFA,Laminaria farlowii,leathery_macrophyte,brown,saxicolous,perennial,erect,no,NA,99.4,0.5609999999999999,0.0281444685704156,15.818705568111772,NA,0.09235294117647058,NA,1099.852,NA,29.85853681238559,NA,6.953846153846154,NA,90.4,NA,13,NA,76989.64,NA,2578.48,NA,52700,NA,4867,NA,70,NA,0.5961,0.03400080064416784,57647,5998,0.10404704494596423,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.34205231388329,2021-06-30,Mohawk,2021,82488.90000000001,4438221777.08,94880.59599753442,148641636.56,5211288.800000001,749411
20210630-MOHK-013,LAFA,Laminaria farlowii,leathery_macrophyte,brown,saxicolous,perennial,erect,no,NA,39.4,0.545,0.034552697273713504,16.79081237113402,NA,0.0863911649447809,NA,1628.7088,NA,33.7183306736152,NA,6.201438848920863,NA,86.2,NA,13.9,NA,81435.44,NA,2415.1682,NA,56140,NA,4850,NA,50,NA,0.6509,0.013913582492578175,57698,5275,0.09142431280113696,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.88324873096448,2021-06-30,Mohawk,2021,84692.8576,4698662017.12,88571.53525773196,139350374.8036,4973567.600000001,802002.2000000001
20210630-MOHK-014,LAFA,Laminaria farlowii,leathery_macrophyte,brown,saxicolous,perennial,erect,no,NA,103.5,0.546,0.04147824061413941,15.679279455692003,NA,0.07509970089730808,NA,1259.77784,NA,27.86410265423923,NA,5.316939890710382,NA,97.3,NA,18.3,NA,94483.338,NA,3390.8624,NA,80240,NA,6026,NA,75,NA,0.67375,0.012437799790813628,83904,6900,0.08223684210526316,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.66666666666667,2021-06-30,Mohawk,2021,99522.44936,7927529991.552,108187.02824427481,284506918.8096,8163859.2,1535443.2
