group,group_mobility,sp_code,scientific_name,common_name
invert,invert_sessile,AB,Abietinaria spp.,Coarse Sea Fir Hydroid
fish,fish_mobile,AHOL,Alloclinus holderi,Island Kelpfish
invert,invert_sessile,AL,Astrangia haimei,Aggregating cup Coral
invert,invert_mobile,AML,Patiria miniata,Bat Star
fish,fish_mobile,ANDA,Anisotremus davidsonii,Sargo
fish,fish_mobile,ANOB,Atractoscion nobilis,White Sea Bass
algae,algae_sessile,ANPA,Anisocladella pacifica,-99999
invert,invert_sessile,ANSP,Anthopleura spp.,Aggregating anemone
invert,invert_mobile,APCA,Aplysia californica,California Brown Sea Hare
invert,invert_mobile,APVA,Aplysia vaccaria,California Black Sea Hare
invert,invert_sessile,AR,Eudistoma psammion,Sand Tunicate
invert,invert_sessile,ARUD,Discophyton rudyi,Octocoral
invert,invert_sessile,AS,Agalophenia spp.,Ostrich-Plume Hydroid
invert,invert_sessile,ATM,Ischyroceridae spp.,Amphipod tube mat
algae,algae_sessile,AU,Acrosorium ciliolatum,-99999
fish,fish_mobile,AUFL,Aulorhynchus flavidus,Tube-Snout
invert,invert_sessile,BA,Balanomorpha spp.,Barnacles
invert,invert_sessile,BAEL,Balanophyllia elegans,Orange Cup Coral
invert,invert_sessile,BCAL,Bugulina californica,Spiral Bryozoan
algae,algae_sessile,BF,Cryptopleura ruprechtiana,Grape Tounge
fish,fish_mobile,BFRE,Brachyistius frenatus,Kelp Surfperch
algae,algae_sessile,BLD,Unidentifiable juvenile kelp,Unidentifiable juvenile kelp - not a unique species
invert,invert_sessile,BN,Bugula neritina,-99999
algae,algae_sessile,BO,Bossiella orbigniana,-99999
fish,fish_mobile,BOTH,Unidentified Flatfish spp.,Unidentified Flatfish spp.
invert,invert_sessile,BOW,Amathia gracilis,-99999
algae,algae_sessile,BR,Halymenia spp.; Schizymenia pacifica,Blady red
algae,algae_sessile,BRA,Unidentifiable Branching Red Alga,Branching red alga - not a unique species
fish,fish_mobile,BRAY,Myliobatis californica,Bat Ray
invert,invert_sessile,BRSP,Barentsia sp.,-99999
fish,fish_mobile,CAGG,Cymatogaster aggregata,Shiner Surfperch
algae,algae_sessile,CAL,Calliarthron cheilosporioides,-99999
fish,fish_mobile,CAPR,Caulolatilus princeps,Ocean Whitefish
invert,invert_mobile,CASP,Cancer spp.,Cancer Crab
algae,algae_sessile,CC,Chondracanthus corymbiferus; Chondracanthus exasperatus,-99999
invert,invert_mobile,CECO,Centrostephanus coronatus,Crowned Sea Urchin
invert,invert_sessile,CESP,Cellaria diffusa; Cellaria mandibulata,-99999
algae,algae_sessile,CF,Callophyllis flabellulata,-99999
algae,algae_sessile,CG,Cladophora graminea,-99999
invert,invert_sessile,CHOV,Chaceia ovoidea,Wart-Neck Piddock
invert,invert_sessile,CHPR,Chelyosoma productum,Disc-Top Tunicate
invert,invert_sessile,CILU,Timarete luxuriosa,-99999
invert,invert_sessile,CL,Clavelina huntsmani,Light Bulb Tunicate
fish,fish_mobile,CLIN,Gibbonsia,Crevice Kelpfish
fish,fish_mobile,CNIC,Rhinogobiops nicholsii,Blackeye Goby
algae,algae_sessile,CO,Corallina officinalis,Pink Feather Coralline
invert,invert_mobile,COCA,Californiconus californicus,Califonia Cone Snail
algae,algae_sessile,COF,Codium fragile,Dead Man's Fingers
invert,invert_sessile,COST,Celleporina robertsoniae,Orange Byozoan
fish,fish_mobile,COTT,Unidentified Cottidae,Unidentified Sculpin Spp
